sample,time_s,left_total_force_N,right_total_force_N
119,1.1899,26.84,1095.93
120,1.1999,39.93,1083.17
121,1.2099,67.21,1066.45
122,1.2199,130.79,1050.17
123,1.2299,235.73,1031.47
124,1.2399,328.57,1005.18
125,1.2499,408.54,970.86
126,1.2599,500.28,951.17
127,1.2699,578.71,924.88
128,1.2799,631.84,893.42
129,1.2899,652.52,862.62
130,1.2999,667.15,822.14
131,1.3099,677.38,767.8
132,1.3199,695.42,711.59
133,1.3299,718.96,642.84
134,1.3399,742.83,579.48
135,1.3499,775.94,511.83
136,1.3599,806.41,443.08
137,1.3699,833.14,378.29
138,1.3799,859.1,297.11
139,1.3899,882.53,242.22
140,1.3999,900.68,190.52
141,1.4099,918.94,138.05
142,1.4199,938.63,98.01
143,1.4299,950.4,88.11
144,1.4399,958.87,53.24
145,1.4499,968.99,41.8
146,1.4599,974.6,46.53
147,1.4699,982.41,38.94
148,1.4799,986.37,34.21
149,1.4899,983.62,36.63
150,1.4999,987.8,31.57
151,1.5099,987.58,31.57
152,1.5199,985.82,29.48
153,1.5299,987.58,26.84
154,1.5399,980.21,26.84
155,1.5499,982.63,26.84
156,1.5599,977.24,31.57
157,1.5699,976.8,26.84
158,1.5799,971.74,26.84
159,1.5899,977.79,25.08
160,1.5999,982.08,26.84
161,1.6099,990.33,26.84
162,1.6199,1003.75,34.43
163,1.6299,1018.16,26.84
164,1.6399,1034.0,26.84
165,1.6499,1046.76,26.84
166,1.6599,1055.45,26.84
167,1.6699,1062.71,27.94
168,1.6799,1071.62,24.64
169,1.6899,1073.93,27.94
170,1.6999,1071.18,20.02
171,1.7099,1071.62,22.88
172,1.7199,1073.05,20.02
173,1.7299,1069.97,27.94
174,1.7399,1069.42,25.08
175,1.7499,1070.3,34.87
176,1.7599,1066.67,39.93
177,1.7699,1065.35,42.79
178,1.7799,1061.83,30.36
179,1.7899,1056.55,22.88
180,1.7999,1046.21,17.93
181,1.8099,1036.42,17.93
182,1.8199,1032.9,17.93
183,1.8299,1015.63,17.93
184,1.8399,1020.36,17.93
185,1.8499,1012.66,17.93
186,1.8599,1005.84,13.2
187,1.8699,1001.11,12.32
188,1.8799,998.69,4.18
189,1.8899,993.3,9.79
190,1.8999,990.44,4.18
191,1.9099,986.59,0.0
192,1.9199,983.51,0.0
193,1.9299,976.47,0.0
194,1.9399,971.3,0.0
195,1.9499,952.27,0.0
196,1.9599,926.53,3.41
197,1.9699,920.37,5.17
198,1.9799,913.55,18.7
199,1.9899,903.43,38.72
200,1.9999,897.27,105.38
201,2.0099,884.73,307.67
202,2.0199,861.63,439.34
203,2.0299,825.33,555.5
204,2.0399,774.95,663.3
205,2.0499,710.6,700.59
206,2.0599,630.85,702.57
207,2.0699,548.35,704.0
208,2.0799,463.87,731.72
209,2.0899,387.53,777.04
210,2.0999,309.1,829.73
211,2.1099,239.03,889.79
212,2.1199,165.55,937.64
213,2.1299,101.53,990.66
214,2.1399,72.49,1020.8
215,2.1498,44.55,1056.66
216,2.1598,27.61,1080.86
217,2.1698,10.45,1097.25
218,2.1798,6.93,1109.13
219,2.1898,6.93,1113.09
220,2.1998,6.93,1111.44
221,2.2098,6.93,1107.15
222,2.2198,6.93,1097.69
223,2.2298,6.93,1085.92
224,2.2398,6.93,1071.07
225,2.2498,6.93,1051.6
226,2.2598,6.93,1037.19
227,2.2698,6.93,1030.7
228,2.2798,6.93,1016.95
229,2.2898,6.93,1013.76
230,2.2998,6.93,999.68
231,2.3098,6.93,994.18
232,2.3198,6.93,996.93
233,2.3298,10.34,994.29
234,2.3398,4.62,994.29
235,2.3498,10.34,998.36
236,2.3598,10.34,1007.38
237,2.3698,10.34,1007.93
238,2.3798,6.93,1014.42
239,2.3898,10.34,1021.68
240,2.3998,10.34,1024.43
241,2.4098,8.03,1027.4
242,2.4198,10.34,1033.89
243,2.4298,10.34,1038.62
244,2.4398,10.34,1038.07
245,2.4498,10.34,1039.94
246,2.4598,8.03,1036.09
247,2.4698,10.34,1041.7
248,2.4798,6.93,1028.94
249,2.4898,8.03,1023.99
250,2.4998,10.34,1010.57
251,2.5098,8.03,1011.23
252,2.5198,8.03,1007.6
253,2.5298,10.34,1014.97
254,2.5398,8.03,1019.15
255,2.5498,8.03,1031.03
256,2.5598,8.03,1039.17
257,2.5698,8.03,1048.96
258,2.5798,8.03,1046.43
259,2.5898,8.03,1050.28
260,2.5998,8.03,1046.32
261,2.6098,10.34,1038.84
262,2.6198,12.65,1029.27
263,2.6298,28.93,1012.33
