sample,time_s,left_total_force_N,right_total_force_N
95,0.9499,20.24,606.76
96,0.9599,27.83,580.14
97,0.9699,45.54,549.23
98,0.9799,75.35,522.5
99,0.9899,137.94,497.09
100,0.9999,189.42,466.29
101,1.0099,247.61,438.57
102,1.0199,296.56,404.14
103,1.0299,337.92,357.17
104,1.0399,370.48,337.48
105,1.0499,394.13,322.63
106,1.0599,419.87,280.5
107,1.0699,429.55,249.26
108,1.0799,446.16,211.31
109,1.0899,454.85,179.08
110,1.0999,454.63,156.09
111,1.1099,467.17,133.65
112,1.1199,478.17,106.59
113,1.1299,490.38,74.47
114,1.1399,498.74,45.98
115,1.1499,509.96,21.12
116,1.1599,530.97,15.29
117,1.1699,549.12,11.44
118,1.1799,562.1,5.72
119,1.1899,577.28,0.0
120,1.1999,592.02,0.0
121,1.2099,608.41,0.0
122,1.2199,616.22,0.0
123,1.2299,623.15,0.0
124,1.2399,633.38,0.0
125,1.2499,640.09,0.0
126,1.2599,651.75,0.0
127,1.2699,654.5,0.0
128,1.2799,664.51,0.0
129,1.2899,668.69,0.0
130,1.2999,666.49,0.0
131,1.3099,676.39,0.0
132,1.3199,674.19,0.0
133,1.3299,668.91,0.0
134,1.3399,670.67,0.0
135,1.3499,665.39,0.0
136,1.3599,670.12,0.0
137,1.3699,665.17,0.0
138,1.3799,661.54,0.0
139,1.3899,664.62,0.0
140,1.3999,659.23,0.0
141,1.4099,666.93,0.0
142,1.4199,666.05,0.0
143,1.4299,669.13,0.0
144,1.4399,673.09,0.0
145,1.4499,669.35,0.0
146,1.4599,672.43,0.0
147,1.4699,673.53,0.0
148,1.4799,675.18,0.0
149,1.4899,672.76,0.0
150,1.4999,674.96,0.0
151,1.5099,673.86,0.0
152,1.5199,663.3,0.0
153,1.5299,661.1,0.0
154,1.5399,662.64,0.0
155,1.5499,656.48,0.0
156,1.5599,648.01,0.0
157,1.5699,641.41,0.0
158,1.5799,636.02,0.0
159,1.5899,632.61,0.0
160,1.5999,627.55,0.0
161,1.6099,622.6,13.86
162,1.6199,618.09,34.76
163,1.6299,606.54,61.27
164,1.6399,596.97,113.19
165,1.6499,587.18,165.22
166,1.6599,575.52,218.02
167,1.6699,553.96,260.26
168,1.6799,530.75,297.55
169,1.6899,504.02,315.04
170,1.6999,471.46,329.78
171,1.7099,453.75,349.03
172,1.7199,435.05,373.89
173,1.7299,403.81,397.54
174,1.7399,355.52,410.52
175,1.7499,304.59,431.2
176,1.7599,245.63,447.48
177,1.7699,190.08,461.56
178,1.7799,154.77,476.41
179,1.7899,137.06,489.39
180,1.7999,114.4,501.82
181,1.8099,93.28,522.83
182,1.8199,63.58,536.03
183,1.8299,41.58,555.17
184,1.8399,19.58,575.96
185,1.8499,8.8,599.17
186,1.8599,0.0,620.73
187,1.8699,0.0,636.46
188,1.8799,0.0,657.69
189,1.8899,0.0,670.89
190,1.8999,0.0,681.23
191,1.9099,0.0,697.84
192,1.9199,0.0,704.55
193,1.9299,0.0,708.29
194,1.9399,0.0,713.24
195,1.9499,0.0,716.98
196,1.9599,0.0,720.28
197,1.9699,0.0,723.03
198,1.9799,0.0,731.83
199,1.9899,0.0,732.38
200,1.9999,0.0,728.2
201,2.0099,0.0,724.02
202,2.0199,0.0,718.96
203,2.0299,0.0,717.97
204,2.0399,0.0,711.59
205,2.0499,0.0,709.94
206,2.0599,0.0,704.66
207,2.0699,0.0,698.72
208,2.0799,0.0,696.63
209,2.0899,0.0,692.56
210,2.0999,0.0,687.72
211,2.1099,0.0,685.08
212,2.1199,0.0,684.31
213,2.1299,0.0,692.23
214,2.1399,0.0,693.99
215,2.1498,0.0,698.61
216,2.1598,0.0,702.35
217,2.1698,0.0,707.74
218,2.1798,0.0,709.94
219,2.1898,0.0,718.08
220,2.1998,0.0,722.7
221,2.2098,0.0,725.45
222,2.2198,0.0,722.7
223,2.2298,0.0,720.28
224,2.2398,0.0,714.23
225,2.2498,0.0,709.61
226,2.2598,0.0,701.14
227,2.2698,0.0,702.24
228,2.2798,0.0,696.85
229,2.2898,0.0,682.55
230,2.2998,0.0,672.98
231,2.3098,0.0,661.32
232,2.3198,0.0,657.91
233,2.3298,0.0,651.75
234,2.3398,5.06,637.78
235,2.3498,10.12,627.0
236,2.3598,17.71,601.92
237,2.3698,25.3,582.56
