domain,nearest_domain,bootstrap_fraction
binary_counter,gait,0.904
binary_counter,ultrasound,0.042
binary_counter,neural_theta_spike,0.03
binary_counter,cmapss,0.023
binary_counter,cardiorespiratory,0.001
cardiorespiratory,neural_theta_spike,0.966
cardiorespiratory,ultrasound,0.032
cardiorespiratory,cmapss,0.002
cmapss,neural_theta_spike,0.438
cmapss,cardiorespiratory,0.409
cmapss,ultrasound,0.153
gait,cmapss,0.694
gait,binary_counter,0.306
neural_theta_spike,cardiorespiratory,0.846
neural_theta_spike,ultrasound,0.154
ultrasound,neural_theta_spike,0.809
ultrasound,cardiorespiratory,0.189
ultrasound,cmapss,0.002
