subject,state,matched_cycles,cycle_period_mean,cycle_period_cv,cycle_amp_mean,cycle_amp_cv,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,DOWN0_mean_H,DOWN0_mean_D,DOWN0_mean_lambda,DOWN0_multilevel,NEGPEAK_mean_H,NEGPEAK_mean_D,NEGPEAK_mean_lambda,NEGPEAK_multilevel,POSPEAK_mean_H,POSPEAK_mean_D,POSPEAK_mean_lambda,POSPEAK_multilevel,UP0_mean_H,UP0_mean_D,UP0_mean_lambda,UP0_multilevel
S01,nofreeze,64,0.221923828125,0.33781865564232316,0.18800735191905732,2.607144901730588,64,256,6.0625,1.443036015204219,2.015625,1.3661704024855212,5.046875,1.9376936968326801,0.453125,0.14453125,0.5945945945945946,1.945945945945946,2.6141732283464565,1.298720472440945,0.00392156862745098,1.29296875,2.9602050781249996,7.812500000000014,6.15625,1.8125,5.34375,0.5625,6.1875,1.1875,6.0,0.1875,5.921875,1.09375,5.828125,0.0625,5.984375,3.96875,3.015625,1.0
S01,freeze,64,0.21923828125,0.33858960167017793,0.6669695629095975,1.080937795046352,64,256,5.98046875,1.407127993885585,1.97265625,1.317764883890782,5.0078125,1.872383795708394,0.44140625,0.16796875,0.5581395348837209,1.8372093023255813,2.6785714285714284,1.339781746031746,0.003952569169960474,1.25390625,3.265380859375,7.812500000000014,6.0,1.703125,5.296875,0.484375,5.984375,1.28125,5.703125,0.234375,6.078125,1.0625,6.015625,0.046875,5.859375,3.84375,3.015625,1.0
S02,nofreeze,64,0.259521484375,0.7808591515294808,0.12222571521485835,1.8636096903516202,64,256,6.125,1.5313712937154353,2.01171875,1.3733669000514257,5.11328125,2.005594962089999,0.46875,0.1484375,0.5526315789473685,2.0789473684210527,2.6549019607843136,1.2907475490196079,0.00390625,1.359375,3.006458282470703,7.812500000000014,6.25,1.8125,5.4375,0.609375,6.265625,1.234375,6.03125,0.203125,6.0625,1.09375,5.96875,0.0625,5.921875,3.90625,3.015625,1.0
S02,freeze,64,0.276123046875,0.38538546245879757,1.895273727193402,0.6567984216259843,64,256,6.2578125,1.4858606471486815,1.98046875,1.3987422133516114,5.27734375,2.0496853835573465,0.42578125,0.1953125,0.54,1.92,2.675889328063241,1.3504199604743083,0.003937007874015748,1.5234375,3.0498504638671875,7.81250000000002,6.359375,1.546875,5.8125,0.375,6.390625,1.234375,6.15625,0.203125,6.3125,1.1875,6.125,0.125,5.96875,3.953125,3.015625,1.0
S03,nofreeze,64,0.278564453125,0.46356991947053616,0.0712189465948962,1.0445917946091494,64,256,6.2890625,1.6071035631673207,2.0,1.425262273765642,5.2890625,2.1130865585492633,0.4296875,0.15234375,0.5897435897435898,2.076923076923077,2.7058823529411766,1.338970588235294,0.00390625,1.53515625,3.259658813476562,7.812500000000018,6.46875,1.4375,6.03125,0.34375,6.328125,1.25,6.078125,0.234375,6.203125,1.171875,6.03125,0.140625,6.15625,4.140625,3.015625,1.0
S03,freeze,64,0.26318359375,0.3801069830160754,2.370144981395975,0.8723119248130367,64,256,6.28515625,1.5239057067093018,2.01171875,1.4725792282024535,5.2734375,2.0834166650000667,0.40625,0.17578125,0.5555555555555556,1.9111111111111112,2.6862745098039214,1.3053921568627451,0.00390625,1.51953125,2.538681030273437,7.812500000000007,6.3125,1.5,5.8125,0.375,6.21875,1.28125,5.9375,0.203125,6.375,1.046875,6.328125,0.046875,6.234375,4.21875,3.015625,1.0
S05,nofreeze,64,0.483154296875,0.27851182754008896,3.679098777363598,0.7761759951133543,64,256,6.9375,1.6269784336399213,2.01953125,1.5604201844249466,5.91796875,2.406915969720197,0.36328125,0.23046875,0.711864406779661,2.169491525423729,2.7176470588235295,1.3639705882352942,0.00390625,2.1640625,2.5720596313476545,7.812500000000024,6.984375,1.484375,6.5,0.34375,6.9375,1.109375,6.828125,0.109375,7.328125,1.0,7.328125,0.0,6.5,4.484375,3.015625,1.0
S05,freeze,64,0.2265625,0.4320021977643441,0.5417229820749856,0.9874551730556219,64,256,6.08203125,1.3738129903130707,2.01171875,1.3618972403001832,5.0703125,1.9104812811148388,0.44140625,0.171875,0.4090909090909091,1.6590909090909092,2.6746031746031744,1.2984871031746033,0.003952569169960474,1.31640625,2.9764175415039062,7.812500000000014,6.1875,1.71875,5.46875,0.484375,6.03125,1.28125,5.75,0.25,6.09375,1.046875,6.046875,0.03125,6.015625,4.0,3.015625,1.0
S06,nofreeze,64,0.264404296875,0.510021453477119,0.022235699099040787,0.4154752614016842,64,256,6.2421875,1.4911298190482618,2.0078125,1.4279896399360557,5.234375,1.9999387245515259,0.4296875,0.13671875,0.6857142857142857,2.2,2.6811023622047245,1.3169291338582678,0.00392156862745098,1.48046875,3.206253051757812,7.812500000000007,6.421875,1.625,5.796875,0.421875,6.3125,1.265625,6.046875,0.234375,6.140625,1.0625,6.078125,0.0625,6.09375,4.078125,3.015625,1.0
S06,freeze,64,0.24658203125,0.48946413842511277,0.1748704631218899,1.801928925209732,64,256,6.125,1.5313712937154353,2.015625,1.3832860847116415,5.109375,2.022362722261305,0.453125,0.16015625,0.7073170731707317,2.2195121951219514,2.6904761904761907,1.3307291666666667,0.003952569169960474,1.35546875,2.9954910278320312,7.812500000000009,6.21875,1.640625,5.578125,0.4375,6.1875,1.3125,5.875,0.25,6.15625,1.1875,5.96875,0.125,5.9375,3.921875,3.015625,1.0
