condition,feature,n,spearman_rho,p,q_fdr
early_abrupt,mean_H,30,-0.06135857613202753,0.7473783954603839,0.9744895102709169
early_abrupt,sd_H,30,-0.0353726362625139,0.8527825838498352,0.9744895102709169
early_abrupt,mean_D,30,-0.037957254823721864,0.8421548471020605,0.9744895102709169
early_abrupt,sd_D,30,-0.0964746893436264,0.6120522635553487,0.9744895102709169
early_abrupt,mean_lambda,30,-0.04376391982182627,0.8183798918925977,0.9744895102709169
early_abrupt,sd_lambda,30,-0.016240266963292546,0.9321204011287032,0.9744895102709169
early_abrupt,multilevel,30,-0.06520023121658193,0.7321202600845993,0.9744895102709169
early_abrupt,pivot_rate,30,-0.15731972637472308,0.4063974317960757,0.9744895102709169
early_abrupt,compound_pivot_fraction,30,0.08857943172343959,0.6415943827161307,0.9744895102709169
early_abrupt,pivot_depth,30,-0.07458533939516854,0.6952736656606698,0.9744895102709169
early_abrupt,tree_span_events,30,-0.18665183537263624,0.3233444401582555,0.9744895102709169
early_abrupt,tree_span_time,30,-0.20222469410456062,0.28386083333448403,0.9744895102709169
early_abrupt,tree_root_fraction,30,-0.01829916568317792,0.9235383481082078,0.9744895102709169
early_abrupt,tree_ascending_fraction,30,-0.13506898420732133,0.4766881915733779,0.9744895102709169
early_abrupt,occ_L2,30,,,
early_abrupt,occ_L3,30,-0.05281557393798828,0.781638731174392,0.9744895102709169
early_abrupt,occ_L4,30,-0.20147141788594597,0.28569632901653597,0.9744895102709169
early_abrupt,occ_L5,30,-0.1559153540415602,0.41065253954344905,0.9744895102709169
early_abrupt,occ_L6,30,-0.35545169423111594,0.05389918607280943,0.9744895102709169
early_abrupt,occ_L7,30,-0.03982876082552326,0.8344761915560426,0.9744895102709169
early_abrupt,occ_L8,30,0.07165319013215261,0.7067171641250571,0.9744895102709169
early_abrupt,occ_L9,30,-0.0015922139910122574,0.9933374737099036,0.9933374737099036
early_abrupt,occ_L10,30,0.25064300673431156,0.1815703371339399,0.9744895102709169
early_abrupt,occ_L11,30,-0.18705161843111243,0.322290472274081,0.9744895102709169
late_abrupt,mean_H,30,0.0466540500363407,0.806603699581204,0.9875658356297324
late_abrupt,sd_H,30,-0.03759733036707453,0.8436332422166453,0.9875658356297324
late_abrupt,mean_D,30,-0.047856569058205484,0.8017159158051631,0.9875658356297324
late_abrupt,sd_D,30,-0.047862169920657595,0.8016931674255544,0.9875658356297324
late_abrupt,mean_lambda,30,0.012810517749579267,0.9464326475941597,0.9875658356297324
late_abrupt,sd_lambda,30,-0.010011123470522802,0.9581267661503258,0.9875658356297324
late_abrupt,multilevel,30,-0.043640981992231,0.8188816963377921,0.9875658356297324
late_abrupt,pivot_rate,30,-0.1305106155967049,0.49182395186477534,0.9875658356297324
late_abrupt,compound_pivot_fraction,30,-0.0374790855650084,0.844119048446523,0.9875658356297324
late_abrupt,pivot_depth,30,0.10191366518443686,0.5920388325915406,0.9875658356297324
late_abrupt,tree_span_events,30,-0.3219132369299221,0.08277818094857309,0.7608580906403344
late_abrupt,tree_span_time,30,-0.2640711902113459,0.15851210221673634,0.7608580906403344
late_abrupt,tree_root_fraction,30,0.0029716041168577362,0.9875658356297324,0.9875658356297324
late_abrupt,tree_ascending_fraction,30,0.031156114580327042,0.8701741136065132,0.9875658356297324
late_abrupt,occ_L2,30,-0.2684479117798355,0.15147090040714356,0.7608580906403344
late_abrupt,occ_L3,30,-0.008451532280609818,0.9646456127078178,0.9875658356297324
late_abrupt,occ_L4,30,-0.0663113996559898,0.7277252777745121,0.9875658356297324
late_abrupt,occ_L5,30,0.09138877136916311,0.6310178730777171,0.9875658356297324
late_abrupt,occ_L6,30,0.30560554516701677,0.1005265632559835,0.7608580906403344
late_abrupt,occ_L7,30,0.1574414491806186,0.4060297994418297,0.9875658356297324
late_abrupt,occ_L8,30,0.14129057970501233,0.45642572853960567,0.9875658356297324
late_abrupt,occ_L9,30,0.024871163519241055,0.8962052747701448,0.9875658356297324
late_abrupt,occ_L10,30,0.5314720953924347,0.0025087944211114473,0.06021106610667473
late_abrupt,occ_L11,30,-0.0536130654907002,0.7784224222840728,0.9875658356297324
early_gradual,mean_H,30,-0.2163456305981145,0.2508506855013362,0.9575821860017631
early_gradual,sd_H,30,-0.19510567296996661,0.3015097053133121,0.9575821860017631
early_gradual,mean_D,30,0.03519675537113551,0.8535067319976453,0.9575821860017631
early_gradual,sd_D,30,-0.010141437988293282,0.957582186001763,0.9575821860017631
early_gradual,mean_lambda,30,-0.18042099236234346,0.3400447977922215,0.9575821860017631
early_gradual,sd_lambda,30,-0.11724137931034483,0.5372314116750956,0.9575821860017631
early_gradual,multilevel,30,-0.06075326939652563,0.7497912527129612,0.9575821860017631
early_gradual,pivot_rate,30,-0.29545308323259856,0.11293888356407976,0.9575821860017631
early_gradual,compound_pivot_fraction,30,-0.20874744676946946,0.26828315783516393,0.9575821860017631
early_gradual,pivot_depth,30,-0.06343907493121068,0.7391031228877059,0.9575821860017631
early_gradual,tree_span_events,30,-0.14152202937249667,0.45568088967755194,0.9575821860017631
early_gradual,tree_span_time,30,-0.19955506117908786,0.29039998578440523,0.9575821860017631
early_gradual,tree_root_fraction,30,-0.20515566603415245,0.27679094833887324,0.9575821860017631
early_gradual,tree_ascending_fraction,30,-0.04785221574119666,0.8017335972825098,0.9575821860017631
early_gradual,occ_L2,30,0.09350192732038962,0.623108997781993,0.9575821860017631
early_gradual,occ_L3,30,0.1233862876963014,0.5159586925226542,0.9575821860017631
