modality,condition,feature,n,mean_change,t,p,paired_dz,q_fdr
gait,early_abrupt,mean_H,30,0.11944444444444441,1.6706769028841613,0.10554506780456749,0.30502247533750765,0.22907807805332026
gait,early_abrupt,sd_H,30,-0.14170003674712714,-1.8430514732072356,0.07556498757984226,-0.3364936221729104,0.17271997161106803
gait,early_abrupt,mean_D,30,-0.09861111111111111,-4.496951827251031,0.00010239376007224206,-0.8210273185998218,0.0013807145016464086
gait,early_abrupt,sd_D,30,-0.29762931937210957,-5.032866446486567,2.3151506406515326e-05,-0.9188714938838534,0.0011112723075127357
gait,early_abrupt,mean_lambda,30,0.2180555555555555,2.5055966197878665,0.01808977354903877,0.4574572628888366,0.056220574124135586
gait,early_abrupt,sd_lambda,30,-0.369109164962754,-3.230094529254675,0.003072515311469332,-0.5897318788489387,0.012824411734828517
gait,early_abrupt,multilevel,30,-0.04444444444444444,-3.8190917362099888,0.0006523320812967491,-0.6972675643679267,0.005107872188975276
gait,early_abrupt,pivot_rate,30,-0.012499999999999995,-1.429820416337835,0.1634543977496393,-0.26104829840322014,0.2802075389993816
gait,early_abrupt,compound_pivot_fraction,30,-0.06160052910052912,-1.1846468761074047,0.24577529548666427,-0.21628593890735112,0.3805966250375033
gait,early_abrupt,pivot_depth,30,-0.2259126984126984,-1.3901336356022578,0.1750670430888752,-0.2538025167220077,0.2922729543442772
gait,early_abrupt,tree_span_events,30,-0.054108476064997794,-0.8029585854160861,0.4285308339807919,-0.14659950999160967,0.6049847067964121
gait,early_abrupt,tree_span_time,30,-0.007310965095442013,-0.3207159282013674,0.7507254223156613,-0.058554449475698725,0.8604372426030094
gait,early_abrupt,tree_root_fraction,30,0.002777777777777777,0.2784602430363653,0.7826350296749633,0.050839652159796044,0.8604372426030094
gait,early_abrupt,tree_ascending_fraction,30,-0.03697095175356046,-1.6615357028168753,0.10738034908749386,-0.3033535281776676,0.22907807805332026
gait,early_abrupt,occ_L1,30,0.0,,,,
gait,early_abrupt,occ_L2,30,-0.013888888888888892,-3.339737437860371,0.002316228855839514,-0.6097498436202111,0.010588474769552063
gait,early_abrupt,occ_L3,30,-0.0375,-4.062451585011452,0.0003375740408276393,-0.7416987906277961,0.0032407107919453374
gait,early_abrupt,occ_L4,30,-0.041666666666666664,-3.57688658571373,0.001244719325609332,-0.6530471562110153,0.007468315953655992
gait,early_abrupt,occ_L5,30,-0.02638888888888889,-2.076054940727856,0.04685961639912526,-0.37903404055223255,0.11838218879779014
