feature,n,half_A_mean,half_B_mean,pearson_r,pearson_p,spearman_rho,spearman_p,icc3_1
LHS_mean_H,47,5.712765957446808,5.718085106382978,0.8807925831869057,3.2727228198768185e-16,0.5684409523246884,3.069335197077837e-05,0.8807022627931125
LHS_mean_D,47,4.181515957446808,4.186835106382978,0.8807925831869057,3.2727228198768185e-16,0.5684409523246884,3.069335197077837e-05,0.8807022627931125
mean_D,47,1.9822140957446808,1.993683510638298,0.8520270995223416,3.0917771881646075e-14,0.8252121375514521,9.731480394708352e-13,0.8518111685610176
RHS_mean_D,47,1.696808510638298,1.7393617021276595,0.7740010561336911,1.7662377797858872e-10,0.7914491240283094,3.5360270317206635e-11,0.773939024423888
tree_span_time,47,1.150761739888897,1.1557853597755068,0.7510320825691168,1.1959828111808673e-09,0.6682469935245143,2.860019246918295e-07,0.7489902923310391
RHS_multilevel,47,0.32646276595744683,0.3470744680851064,0.72412596917441,8.787712307215816e-09,0.7438740922724988,2.0822879592504162e-09,0.7239833219099839
mean_lambda,47,6.547872340425532,6.4873670212765955,0.701621108668604,3.93041749010148e-08,0.6713810626963512,2.3993752800176145e-07,0.6986491877996279
projection_depth_mean,47,4.386746453900709,4.3060726950354615,0.7016211086686042,3.93041749010148e-08,0.6713810626963512,2.3993752800176145e-07,0.6986491877996278
pivot_depth,47,3.1993010669221777,3.1798925219808707,0.6923570836172052,7.001351422754658e-08,0.49654416210902486,0.0003853110480553583,0.692270336448771
multilevel,47,0.34208776595744683,0.3482380319148936,0.6882937877994776,8.95899789587921e-08,0.7113872238622827,2.0875710488717488e-08,0.6876533987834811
RHS_mean_lambda,47,7.07779255319149,6.977393617021277,0.6827352792544359,1.2473427309580776e-07,0.6893479187508991,8.407098315586575e-08,0.6827271007554079
LTO_mean_D,47,1.0325797872340425,1.038563829787234,0.6564894394281869,5.427719925326619e-07,0.7060336427250411,2.9624402924272522e-08,0.6563411584942352
LTO_multilevel,47,0.032579787234042555,0.03856382978723404,0.6564894394281872,5.427719925326491e-07,0.7060336427250411,2.9624402924272522e-08,0.6563411584942352
RTO_mean_H,47,8.278590425531915,8.211436170212766,0.6496262035761249,7.789641685331799e-07,0.5705844023172318,2.8201985320835122e-05,0.6379102321820092
RHS_mean_H,47,7.774601063829787,7.716755319148936,0.6256643246224013,2.569073958259106e-06,0.6130497695450642,4.629287803479932e-06,0.6256631920109341
RTO_mean_lambda,47,8.26063829787234,8.201462765957446,0.6340026967434829,1.7156664117126876e-06,0.5553689788053985,5.0795430164438606e-05,0.6248695452121262
mean_H,47,7.530086436170213,7.481050531914893,0.6195684115451083,3.4257696120036695e-06,0.5700069466534227,2.8854228529184504e-05,0.605926182586154
pivot_rate,47,0.31981382978723405,0.31981382978723405,0.6078183112789999,5.866127834466855e-06,0.568487644333523,3.063699588636033e-05,0.6052879739515684
LTO_mean_lambda,47,8.321808510638299,8.23936170212766,0.43474323845819385,0.0022608666985915802,0.22306265577001103,0.13177912433238462,0.4204446899599503
LTO_mean_H,47,8.35438829787234,8.277925531914894,0.43087317634054406,0.0024992137822585367,0.23351608750829767,0.1141698525823374,0.41384975868410495
tree_span_events,47,2.4183971684390517,2.429385156642654,0.372256570521626,0.009975383693193913,0.341531479515844,0.018798352559086025,0.3648788316743862
compound_pivot_fraction,47,0.9131572564907047,0.910300048019649,0.3538931151725555,0.014671500717904969,0.268647651753734,0.06786703360355334,0.35281555637812456
projection_error_ms_mean,47,2.318210466533638,2.344849498559347,0.29818991352674645,0.041769237640963616,0.3629372651055219,0.012165209014693467,0.29793807954170876
projection_error_ms_max,47,4.996675531914786,4.9999999999998925,0.04867794644180558,0.7452373622359955,0.45475268003608293,0.0013212216642407423,4.800604358479374e-15
tree_root_fraction,47,0.007813808845702798,0.0078125,,,,,-8.026304213680489e-17
RTO_multilevel,47,0.009308510638297872,0.007313829787234043,-0.019237000492938493,0.8978777389408157,-0.012084670070511012,0.9357439241963538,-0.018284106891701728
RTO_mean_D,47,1.0179521276595744,1.0099734042553192,-0.11227217828476793,0.45244000265557804,-0.035489602331931026,0.8127907059190503,-0.09230769230769267
n_cycles,47,32.0,32.0,,,,,
n_events,47,128.0,128.0,,,,,
LHS_mean_lambda,47,2.53125,2.53125,,,,,
LHS_multilevel,47,1.0,1.0,,,,,
