label,C,n,auc_conventional,auc_augmented,delta_auc
core_plus_full,0.03,46,0.7559523809523809,0.9265873015873016,0.1706349206349207
core_plus_full,0.1,46,0.748015873015873,0.9265873015873016,0.1785714285714286
core_plus_full,0.3,46,0.7440476190476191,0.9305555555555556,0.1865079365079365
core_plus_full,1.0,46,0.7281746031746031,0.9365079365079366,0.20833333333333348
core_plus_full,3.0,46,0.7341269841269842,0.9325396825396827,0.19841269841269848
core_plus_full,10.0,46,0.7301587301587301,0.9285714285714286,0.19841269841269848
core_plus_full,30.0,46,0.7301587301587301,0.9186507936507936,0.1884920634920635
expanded_plus_full,0.03,46,0.7817460317460317,0.9285714285714287,0.14682539682539697
expanded_plus_full,0.1,46,0.8194444444444445,0.9424603174603176,0.12301587301587302
expanded_plus_full,0.3,46,0.8511904761904762,0.9464285714285715,0.09523809523809534
expanded_plus_full,1.0,46,0.8650793650793651,0.9484126984126985,0.08333333333333337
expanded_plus_full,3.0,46,0.876984126984127,0.9404761904761905,0.06349206349206349
expanded_plus_full,10.0,46,0.882936507936508,0.9265873015873016,0.04365079365079361
expanded_plus_full,30.0,46,0.8849206349206349,0.9186507936507936,0.03373015873015872
core_plus_compact,0.03,46,0.7559523809523809,0.9246031746031746,0.16865079365079372
core_plus_compact,0.1,46,0.748015873015873,0.9384920634920635,0.19047619047619047
core_plus_compact,0.3,46,0.7440476190476191,0.9365079365079366,0.19246031746031755
core_plus_compact,1.0,46,0.7281746031746031,0.9464285714285715,0.21825396825396837
core_plus_compact,3.0,46,0.7341269841269842,0.9484126984126985,0.2142857142857143
core_plus_compact,10.0,46,0.7301587301587301,0.9384920634920635,0.20833333333333337
core_plus_compact,30.0,46,0.7301587301587301,0.9146825396825397,0.18452380952380953
expanded_plus_compact,0.03,46,0.7817460317460317,0.9325396825396826,0.1507936507936508
expanded_plus_compact,0.1,46,0.8194444444444445,0.9484126984126985,0.12896825396825395
expanded_plus_compact,0.3,46,0.8511904761904762,0.9563492063492064,0.10515873015873023
expanded_plus_compact,1.0,46,0.8650793650793651,0.9563492063492064,0.09126984126984128
expanded_plus_compact,3.0,46,0.876984126984127,0.9523809523809524,0.07539682539682546
expanded_plus_compact,10.0,46,0.882936507936508,0.9384920634920635,0.05555555555555547
expanded_plus_compact,30.0,46,0.8849206349206349,0.9305555555555556,0.045634920634920695
