feature,H,p,q_BH
compound_pivot_fraction,17.148269495916583,0.0006588112879974764,0.019105527351926815
mean_D,14.329716777621584,0.002489034162892503,0.021077376704335463
LHS_mean_H,13.998478613576184,0.002907224373011788,0.021077376704335463
LHS_mean_D,13.998478613576184,0.002907224373011788,0.021077376704335463
tree_span_time,11.866224303929243,0.007855754921820581,0.04556337854655937
pivot_depth,10.901509643378649,0.012270547653415485,0.059148074192644416
RHS_mean_lambda,9.80679361427022,0.020281914571313862,0.059148074192644416
RHS_mean_D,9.636263595557237,0.021925068177516376,0.059148074192644416
projection_depth_mean,9.567609781925274,0.022622877459234518,0.059148074192644416
mean_lambda,9.567609781925274,0.022622877459234518,0.059148074192644416
RTO_mean_lambda,9.39499624183268,0.024475065183163208,0.059148074192644416
RTO_mean_H,9.39499624183268,0.024475065183163208,0.059148074192644416
mean_H,8.769266759126575,0.03252123905218326,0.07254737942410111
RHS_multilevel,7.762836984498217,0.05117606803755641,0.10000362938764408
tree_span_events,7.738968763115647,0.05172601520050556,0.10000362938764408
RHS_mean_H,6.418049666808379,0.09295105884294433,0.1684737941528366
projection_error_ms_max,5.871799505762689,0.1180168010324485,0.2013227782318239
multilevel,4.652209462499148,0.19910877716197,0.32078636320539616
LTO_mean_H,3.709902637308586,0.29454132911367004,0.4495630812787595
LTO_mean_D,3.253468194589443,0.35417169037883833,0.5135489510493156
projection_error_ms_mean,3.073692427790803,0.38040221983838923,0.5253173512053946
LTO_multilevel,2.5778626917602536,0.4613837268581279,0.6081876399493504
tree_root_fraction,2.1763182674198935,0.5366279844338444,0.6766178934165864
pivot_rate,1.8997215437698567,0.5934783997212247,0.7158588193131828
LTO_mean_lambda,1.7899715271736638,0.6171196718217093,0.7158588193131828
LHS_mean_lambda,,,1.0
LHS_multilevel,,,1.0
RTO_mean_D,,,1.0
RTO_multilevel,,,1.0
