feature,n,rho,p,q_BH
tree_span_time,14,0.8676665700538074,5.795037450348623e-05,0.0013908089880836695
RHS_multilevel,14,-0.7576771451422822,0.0016943206215923158,0.02033184745910779
RHS_mean_D,14,-0.7147855223936458,0.004066408650475874,0.032531269203806994
RHS_mean_lambda,14,0.6677852659576424,0.00905840269881779,0.054350416192906745
tree_span_events,14,0.6282828158619307,0.016117945857587537,0.07736614011642018
mean_D,14,-0.5411831062735936,0.045660019592468154,0.18109143304945574
multilevel,14,-0.5270100647824473,0.05281833463942459,0.18109143304945574
RHS_mean_H,14,0.43544775147644177,0.11964725438506929,0.2966317790683703
projection_depth_mean,14,0.4224763927487125,0.1323511529708427,0.2966317790683703
mean_lambda,14,0.4224763927487125,0.1323511529708427,0.2966317790683703
LTO_mean_D,14,0.4189492866967213,0.13595623207300303,0.2966317790683703
LTO_multilevel,14,0.40286169990562276,0.15323186137866243,0.30646372275732486
compound_pivot_fraction,14,-0.3452495252570124,0.22666932863956682,0.41846645287304646
pivot_depth,14,-0.2998219561442476,0.2976683010553084,0.5102885160948144
projection_error_ms_max,14,-0.2616607606761497,0.3661788719554667,0.5366087759793023
mean_H,14,0.25240052435449106,0.383990021975979,0.5366087759793023
LTO_mean_H,14,0.24836244787896564,0.39189827468932076,0.5366087759793023
projection_error_ms_mean,14,0.24303749475329162,0.40245658198447676,0.5366087759793023
RTO_mean_H,14,-0.18873192361642124,0.5181632809333151,0.578342620641127
RTO_mean_lambda,14,-0.18873192361642124,0.5181632809333151,0.578342620641127
LHS_mean_D,14,-0.18345175187414933,0.5301474022543664,0.578342620641127
LHS_mean_H,14,-0.18345175187414933,0.5301474022543664,0.578342620641127
LTO_mean_lambda,14,0.09663984040599884,0.7424196265307988,0.7746987407277901
pivot_rate,14,-0.020624524674635204,0.9442083286384746,0.9442083286384747
