feature,contrast,n0,n1,young_mean,old_mean,diff,hedges_g,exact_permutation_p,q_BH
sd_D,old-vs-young,5,5,0.34321277656524074,0.23008991330913314,-0.1131228632561076,-1.675954394919514,0.023809523809523808,0.20634920634920637
sd_H,old-vs-young,5,5,4.287150741678091,3.213454189763776,-1.0736965519143151,-1.3123576737147828,0.05555555555555555,0.20634920634920637
sd_lambda,old-vs-young,5,5,4.293881393496366,3.2257237467044697,-1.0681576467918963,-1.3267197099158103,0.05555555555555555,0.20634920634920637
mean_D,old-vs-young,5,5,0.886453613230503,0.9477286438223939,0.06127503059189088,1.1191567880120068,0.07936507936507936,0.20634920634920637
mean_H,old-vs-young,5,5,10.830649235993839,11.583117157335908,0.7524679213420686,1.1078952580729895,0.09523809523809523,0.20634920634920637
mean_lambda,old-vs-young,5,5,10.825949481091879,11.579229005791506,0.7532795246996269,1.1123466557575534,0.09523809523809523,0.20634920634920637
pivot_rate,old-vs-young,5,5,0.22239540717708692,0.2329784025096525,0.01058299533256557,0.6287153158253973,0.3412698412698413,0.5617283950617283
tree_span_time,old-vs-young,5,5,1.8343806288002118,1.700075011519612,-0.13430561728059986,-0.5308470728318914,0.373015873015873,0.5617283950617283
compound_pivot_fraction,old-vs-young,5,5,0.6984377865740143,0.736219052202997,0.03778126562898265,0.5284363689807783,0.3888888888888889,0.5617283950617283
tree_root_fraction,old-vs-young,5,5,0.0140274279582529,0.016635460399150207,0.002608032440897308,0.36658975534660276,0.5555555555555556,0.7222222222222222
multilevel,old-vs-young,5,5,0.001565563725490196,0.0031069015444015443,0.0015413378189113483,0.4132730694388072,0.6825396825396826,0.8066378066378067
tree_span_events,old-vs-young,5,5,3.194338493742923,3.243758680897636,0.04942018715471308,0.14012063927326662,0.8015873015873016,0.8683862433862434
pivot_depth,old-vs-young,5,5,2.7965517626192153,2.8092031786414156,0.012651416022200213,0.04676387922254172,0.9682539682539683,0.9682539682539683
