subject,task,key,tr,n_volumes,n_anchors,n_peaks,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surrmean_mean_H,surz_mean_D,surrmean_mean_D,surz_mean_lambda,surrmean_mean_lambda,surz_multilevel,surrmean_multilevel,surz_pivot_rate,surrmean_pivot_rate,surz_tree_span_events,surrmean_tree_span_events,surz_tree_span_time,surrmean_tree_span_time
sub-0001,faces,ds005256/sub-0001/ses-02/func/sub-0001_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,135,95,121,5.694214876033058,1.5750289690807362,1.0909090909090908,0.3872983346207417,5.603305785123967,1.6954809486935913,0.06611570247933884,0.2727272727272727,0.6666666666666666,2.3333333333333335,2.7142857142857144,4.233193277310924,0.01652892561983471,1.56198347107438,98.43319459918627,225.01563142997597,-1.0777410155525147,5.780854835941686,-0.2783212898438848,1.1005428781037787,-0.8326020273749531,5.680311957837907,-0.09930896253879468,0.0680911319418155,0.21023441682250363,0.2687678450892185,0.10913471723525352,2.681238333007582,0.3888547919372364,4.050595269462429
sub-0002,faces,ds005256/sub-0002/ses-02/func/sub-0002_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,86,95,79,5.8734177215189876,1.6042179068014528,1.0506329113924051,0.2206478908203439,5.822784810126582,1.6852261026942963,0.05063291139240506,0.24050632911392406,0.6842105263157895,2.789473684210526,2.1818181818181817,5.233766233766234,0.02531645569620253,1.6962025316455696,98.29365673719596,224.03947393448243,0.4897383765879274,5.806359315894426,-0.578419935189584,1.0723031156961393,0.5942010421852215,5.734056200198286,-0.12551251016229206,0.05354830372962404,-0.8705531618155848,0.2627086250950022,-1.476811149651543,2.61918295063216,-1.54079838595964,6.154863323481558
sub-0003,faces,ds005256/sub-0003/ses-02/func/sub-0003_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,128,95,119,5.949579831932773,1.6252704572626735,1.050420168067227,0.28667407513152265,5.899159663865547,1.699426413619713,0.03361344537815126,0.24369747899159663,0.7241379310344828,2.5172413793103448,2.8559322033898304,4.504237288135593,0.008403361344537815,1.7478991596638656,99.77492552313745,229.8059013436811,1.675125943360833,5.811015438047623,-1.4917686567653266,1.1049340523350248,1.8561537121866607,5.706081385712598,-1.909438328622436,0.0701531300568025,-1.0199287073893253,0.2656136869875781,0.43356233480397055,2.7229656193065117,0.37473027381574703,4.324094861916683
sub-0004,faces,ds005256/sub-0004/ses-02/func/sub-0004_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,125,95,119,5.8655462184873945,1.4017203095609263,1.0420168067226891,0.20147582532332894,5.823529411764706,1.4476577155583956,0.04201680672268908,0.24369747899159663,0.6896551724137931,2.1724137931034484,2.440677966101695,3.909957627118644,0.008403361344537815,1.6974789915966386,96.09052252805228,226.56787911167342,0.803407387700454,5.792917974490029,-1.574204116010734,1.0908342026109359,1.171168881297792,5.702083771879092,-1.0905626736610812,0.06204558682110896,-1.2045024435670093,0.2719228661427501,-0.8863169217174872,2.731331882520947,-0.9782163299918786,4.453202915914483
sub-0005,faces,ds005256/sub-0005/ses-02/func/sub-0005_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,123,95,112,5.9375,1.3707448491391245,1.125,0.5714687888035326,5.8125,1.5277095261849998,0.0625,0.25,0.7142857142857143,2.1785714285714284,3.108108108108108,5.262387387387387,0.008928571428571428,1.7232142857142858,93.42176741485166,228.78965410348508,1.2851666781623892,5.801374593884597,0.282588062910675,1.1120635383845054,0.9302346575240532,5.68931105550009,-0.5275385607330163,0.07379778813885135,-0.5189062687594483,0.26151140795287914,1.8858183128005441,2.657085449263494,2.0480572795727747,4.427047006580863
sub-0006,faces,ds005256/sub-0006/ses-02/func/sub-0006_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,43,95,42,5.833333333333333,1.7238169031098272,1.2142857142857142,0.5196487690792454,5.619047619047619,1.9374660463099602,0.16666666666666666,0.2619047619047619,0.8181818181818182,3.1818181818181817,2.225,9.725,0.047619047619047616,1.5714285714285714,87.30451643738299,225.88527134260517,0.5323150781522633,5.715308648482589,2.2192127387731895,1.0804234706994655,-0.06866054412712891,5.634885177783123,3.342729809089024,0.056057261750458144,-0.0015865558764043327,0.26195328603865187,0.08258948042610381,2.2025811018767674,-0.5864373963278765,10.543194818923343
sub-0007,faces,ds005256/sub-0007/ses-02/func/sub-0007_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,119,95,109,5.73394495412844,1.3651902718754545,1.1192660550458715,0.44565329993670916,5.614678899082569,1.4587428433334488,0.08256880733944955,0.27522935779816515,0.7666666666666667,2.1,3.0462962962962963,5.267361111111111,0.009174311926605505,1.5963302752293578,86.95330884857295,227.64197409910912,-0.5311907687184727,5.7894306564679745,0.7933739575594753,1.081068572976796,-0.7720648317556627,5.7083620834911795,0.7292221417878118,0.06300260219359878,0.20859985380283075,0.2712559573394773,1.2941593057258436,2.703639987582346,1.3611316221681629,4.630780786152105
sub-0008,faces,ds005256/sub-0008/ses-02/func/sub-0008_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,119,95,113,5.761061946902655,1.465522434170453,1.0884955752212389,0.34219674071394446,5.672566371681416,1.6060292531810636,0.07079646017699115,0.23893805309734514,0.5925925925925926,2.111111111111111,2.6607142857142856,4.524553571428571,0.008849557522123894,1.6283185840707965,98.82223654846298,228.14361186628673,-0.42839530163553546,5.794442104353719,-0.4516531022910046,1.1082983708866032,-0.13854585189730512,5.686143733467116,-0.024080357753475886,0.07135170487055024,-1.5647528110392308,0.272935231813425,-0.2577061588042825,2.7389158608678574,-0.23781464384545561,4.653095944593217
sub-0009,faces,ds005256/sub-0009/ses-02/func/sub-0009_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,133,95,125,5.84,1.4446787788963844,1.104,0.39805981071093544,5.736,1.5405487082791782,0.08,0.288,0.6111111111111112,2.111111111111111,2.346774193548387,3.559475806451613,0.008,1.672,101.82960090803704,222.7754946274628,0.2945375620378969,5.81451870083598,0.08297791217089315,1.1001733542479177,0.19925345708191652,5.714345346588062,0.42595603432843837,0.06917549113824635,0.6978321132954779,0.2716898379890447,-1.9724163712579346,2.7861784408494654,-1.9957352287659422,4.264072271970426
sub-0010,faces,ds005256/sub-0010/ses-02/func/sub-0010_ses-02_task-faces_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,914,96,119,95,110,5.836363636363636,1.3648757225898245,1.0636363636363637,0.28014651236509314,5.7727272727272725,1.4441218461711685,0.05454545454545454,0.2636363636363636,0.6896551724137931,1.9655172413793103,2.611111111111111,4.524305555555555,0.01818181818181818,1.6454545454545455,99.22743628733352,216.99447189102727,0.2932879357232607,5.807239154292384,-0.8030352719949613,1.09629725909971,0.6135048180149696,5.710941895192672,-0.45530543733226797,0.06590060436471813,-0.48993795065817974,0.27390970123135927,-0.14378870714319447,2.6621615721139884,-0.037326749326825136,4.548144899892159
