subject,task,key,tr,n_volumes,n_anchors,n_peaks,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surrmean_mean_H,surz_mean_D,surrmean_mean_D,surz_mean_lambda,surrmean_mean_lambda,surz_multilevel,surrmean_multilevel,surz_pivot_rate,surrmean_pivot_rate,surz_tree_span_events,surrmean_tree_span_events,surz_tree_span_time,surrmean_tree_span_time
sub-0001,narratives,ds005256/sub-0001/ses-02/func/sub-0001_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,937,18,127,16,102,6.852941176470588,1.4718282483174239,1.107843137254902,0.3956912173739668,6.745098039215686,1.6631490738290107,0.08823529411764706,0.2549019607843137,0.6153846153846154,1.9230769230769231,2.316326530612245,0.7169961734693877,0.0392156862745098,3.784313725490196,104.83587113846444,228.48304176975168,0.20616045701783883,6.827006423408885,-1.0725950923571475,1.172762167658018,0.6312511411740477,6.654244255750865,-0.6555296618524591,0.10725345867628665,-0.17313607804738024,0.25815066421612254,-1.456629930613151,2.724509705826918,-1.716363336943165,0.8724463015845327
sub-0002,narratives,ds005256/sub-0002/ses-02/func/sub-0002_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,127,16,102,6.8431372549019605,1.419420450965158,1.1470588235294117,0.43137034291100335,6.696078431372549,1.6337360190453742,0.11764705882352941,0.24509803921568626,0.68,2.08,3.0303030303030303,0.9665404040404041,0.029411764705882353,3.676470588235294,107.1874611801681,229.5616348431664,-0.12531744771707126,6.858903648536009,-0.4202123398462421,1.177046058438614,0.0786738702290925,6.681857590097396,0.3939268651232509,0.10290328784021129,-0.9669719623771019,0.2696091345258873,1.0437336433621787,2.7414332297392705,1.0307810255272705,0.8747214237733487
sub-0003,narratives,ds005256/sub-0003/ses-02/func/sub-0003_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,134,16,105,6.733333333333333,1.5080977999980552,1.1714285714285715,0.5452089023968218,6.561904761904762,1.7809019404817668,0.10476190476190476,0.24761904761904763,0.7307692307692307,2.0384615384615383,3.1650485436893203,0.9405339805825242,0.01904761904761905,3.619047619047619,106.06427140974631,227.24432040093185,-2.082510601420895,6.936979209461872,-0.09941725854757558,1.177960758975771,-1.294829803523664,6.7590184504861,-0.007678299194584555,0.10504516594037262,-0.7503386064962327,0.2620923365030814,1.4172777217444918,2.790634568119712,1.1786831501499775,0.834592687222711
sub-0004,narratives,ds005256/sub-0004/ses-02/func/sub-0004_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,112,16,89,6.842696629213483,1.3047019548583638,1.1910112359550562,0.6721134322280797,6.651685393258427,1.5674322052579095,0.0898876404494382,0.30337078651685395,0.5555555555555556,1.8148148148148149,2.9529411764705884,1.089705882352941,0.0449438202247191,3.764044943820225,98.52004951569049,225.71182691430906,-0.6313750564255818,6.890856119527992,1.0329660745231464,1.1333741816492306,-1.1037389634876142,6.7574819378787625,0.3112964733174464,0.08069800094509877,2.030451486199184,0.2549444808744698,1.2815075577684016,2.5447823901141104,1.209224715539349,0.9346512182849527
sub-0005,narratives,ds005256/sub-0005/ses-02/func/sub-0005_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,119,16,93,6.741935483870968,1.3744819245846114,1.2150537634408602,0.6732378345433973,6.526881720430108,1.671964464526829,0.12903225806451613,0.2903225806451613,0.7037037037037037,1.962962962962963,2.49438202247191,0.8397120786516854,0.043010752688172046,3.5806451612903225,103.90312384800819,226.9618122074682,-1.3108763224181148,6.871837217288207,1.022126573651703,1.1638864847123558,-1.572462955651185,6.707950732575851,1.256075887857211,0.09851789375943168,0.9205616271282867,0.264672344235138,-0.9233492437890751,2.7359803937874756,-0.9695105035347491,0.9221335478426808
sub-0006,narratives,ds005256/sub-0006/ses-02/func/sub-0006_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,92,16,72,6.694444444444445,1.2742176709363466,1.1111111111111112,0.4909191022411197,6.583333333333333,1.4216633780763224,0.05555555555555555,0.2638888888888889,0.7894736842105263,2.1052631578947367,2.550724637681159,1.0672554347826086,0.041666666666666664,3.736111111111111,85.87001057400391,226.537328093008,-1.6536028194471442,6.850872462078531,-0.4694756051173571,1.1311922836006696,-1.195281743964781,6.71968017847786,-1.18378593743733,0.0835843370519285,-0.040255252399748816,0.2648851781971302,0.02169045626156034,2.5418227871005374,-0.31645806569730467,1.121295103011573
sub-0007,narratives,ds005256/sub-0007/ses-02/func/sub-0007_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,128,16,100,7.01,1.507523221256065,1.23,0.7895146188218009,6.78,1.8563568100073342,0.11,0.25,0.68,2.08,2.8421052631578947,0.9023026315789474,0.05,3.84,88.8527405519116,229.56414671553492,1.1534087198751972,6.880034688185422,1.1514085198947477,1.1609440532144761,0.4068372592933788,6.719090634970947,0.3128516918044131,0.09938046305358982,-0.2769183622847759,0.2564362357633449,0.6306261515480044,2.6558479595846882,0.7091748169645976,0.832576020184587
sub-0008,narratives,ds005256/sub-0008/ses-02/func/sub-0008_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,129,16,103,6.737864077669903,1.4139443165710601,1.1650485436893203,0.5618088325107341,6.572815533980583,1.6124633557020203,0.0970873786407767,0.2621359223300971,0.7037037037037037,2.0,2.93,0.908125,0.02912621359223301,3.650485436893204,101.69284105287407,229.90552612108726,-1.4218683511146812,6.891953780089653,0.1558474987959947,1.1560916183578067,-1.121383662646006,6.735862161731847,0.05665157619216221,0.09553399722167218,-0.2077070920636188,0.2680716380323568,0.7328113062546749,2.7195049270689315,0.5041349584114437,0.8618022017104007
sub-0010,narratives,ds005256/sub-0010/ses-02/func/sub-0010_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,124,16,101,6.900990099009901,1.4248154301175258,1.1683168316831682,0.6938199612391253,6.732673267326732,1.708163277376673,0.06930693069306931,0.24752475247524752,0.56,1.88,2.806122448979592,0.8909438775510204,0.0297029702970297,3.8217821782178216,92.35643948794012,226.2089551184621,0.18541259765803855,6.882334966809252,0.20401008945386,1.1590850750396318,0.08489716415958445,6.723249891769622,-0.9415348827463954,0.09457840888565087,-0.29064221575318266,0.25409050131421407,0.27329515221817435,2.7379085481833108,-0.07160582159899286,0.8974868407831955
sub-0011,narratives,ds005256/sub-0011/ses-02/func/sub-0011_ses-02_task-narratives_acq-mb8_run-01_bold.nii.gz,0.46000000834465027,967,18,127,16,102,6.823529411764706,1.4516072669776166,1.1568627450980393,0.6092536911521249,6.666666666666667,1.7138534737173237,0.0784313725490196,0.23529411764705882,0.7916666666666666,2.0416666666666665,2.83,0.88578125,0.0196078431372549,3.6862745098039214,96.27166550786934,229.77086124496805,-0.6232216333867755,6.8852682336905655,-0.3295309017479584,1.1697076063095575,-0.4394576361733627,6.7155606273810085,-1.126259508123807,0.10469636653557096,-0.9412701739329163,0.2564440756044611,0.07852365981113804,2.811455895911898,-0.033539998702058066,0.8881501665301939
