group,feature,n,mean_z,t,p,positive_fraction,q_BH
faces,mean_H,106,-0.16308860547983933,-1.4945916992583033,0.13802033822738807,0.39622641509433965,0.42950907546350686
faces,mean_D,106,0.1104880458635601,1.168045545366052,0.2454337574077182,0.5471698113207547,0.42950907546350686
faces,mean_lambda,106,-0.18206663904842174,-1.723933714351576,0.08766288016963407,0.41509433962264153,0.42950907546350686
faces,multilevel,106,0.09263296467829489,1.0090985640738526,0.3152471424858938,0.46226415094339623,0.4413459994802514
faces,pivot_rate,106,-0.13969954162740922,-1.2932245473444515,0.19877141949214025,0.44339622641509435,0.42950907546350686
faces,tree_span_events,106,-0.0061564713808749515,-0.062163341677258906,0.9505509329929707,0.5094339622641509,0.9505509329929707
faces,tree_span_time,106,-0.042463659018658534,-0.43693252425528395,0.6630575403395081,0.5,0.7735671303960928
fractional,mean_H,28,-0.05252941422897477,-0.3265313787269877,0.7465400981066648,0.39285714285714285,0.7465400981066648
fractional,mean_D,28,0.1680898530823001,1.0239201930567035,0.3149598601797363,0.5357142857142857,0.7465400981066648
fractional,mean_lambda,28,-0.09497338042730373,-0.5966928977519046,0.5556831238612481,0.42857142857142855,0.7465400981066648
fractional,multilevel,28,0.13200115667538875,0.6870830797834627,0.497890000321141,0.5714285714285714,0.7465400981066648
fractional,pivot_rate,28,0.25969849201246864,1.4682127457370169,0.15360094840277605,0.6071428571428571,0.7465400981066648
fractional,tree_span_events,28,-0.1052086332033606,-0.4635442893115579,0.6466895071108895,0.39285714285714285,0.7465400981066648
fractional,tree_span_time,28,-0.1905904581027999,-0.8318203841455777,0.4128070476514943,0.35714285714285715,0.7465400981066648
narratives,mean_H,104,-0.06702591902769378,-0.6648624493743069,0.5076243753160483,0.4519230769230769,0.7106741254424677
narratives,mean_D,104,0.20288593356130594,2.19660168354488,0.030290908080066434,0.5192307692307693,0.14959129106858152
narratives,mean_lambda,104,-0.144388381821776,-1.5261582754171366,0.13003538338413562,0.4230769230769231,0.30341589456298307
narratives,multilevel,104,0.2044064332273234,2.0516553088042686,0.04274036887673758,0.5384615384615384,0.14959129106858152
narratives,pivot_rate,104,-0.0440489536427427,-0.3951020689812874,0.6935846089990497,0.5480769230769231,0.8091820438322247
narratives,tree_span_events,104,-0.007126217002655667,-0.06667296849168358,0.9469713007918996,0.5192307692307693,0.9469713007918996
narratives,tree_span_time,104,-0.07085078315430322,-0.6834663791044786,0.49584681299081057,0.49038461538461536,0.7106741254424677
shortvideo,mean_H,99,0.04458774819896613,0.3668206423769633,0.7145436542460203,0.5151515151515151,0.9740730764947193
shortvideo,mean_D,99,-0.09590764404330081,-0.9413502309941623,0.34884009182373604,0.43434343434343436,0.9740730764947193
shortvideo,mean_lambda,99,0.07018100867039834,0.6130601033008206,0.5412567705944611,0.5353535353535354,0.9740730764947193
shortvideo,multilevel,99,0.014311054641016641,0.13688133000653926,0.8914054131618101,0.5050505050505051,0.9740730764947193
shortvideo,pivot_rate,99,0.14835356705576525,1.4276192020419198,0.15658033926516712,0.5252525252525253,0.9740730764947193
shortvideo,tree_span_events,99,0.0032350106065115367,0.032583401872790185,0.9740730764947193,0.5151515151515151,0.9740730764947193
shortvideo,tree_span_time,99,-0.03837490941094253,-0.3877695180305643,0.6990275727282329,0.48484848484848486,0.9740730764947193
