subject,task,key,tr,n_volumes,n_anchors,n_peaks,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surrmean_mean_H,surz_mean_D,surrmean_mean_D,surz_mean_lambda,surrmean_mean_lambda,surz_multilevel,surrmean_multilevel,surz_pivot_rate,surrmean_pivot_rate,surz_tree_span_events,surrmean_tree_span_events,surz_tree_span_time,surrmean_tree_span_time
sub-0001,faces,ds007070/sub-0001/ses-02/func/sub-0001_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,133,95,122,5.721311475409836,1.5388215684531614,1.1065573770491803,0.4226515484313412,5.614754098360656,1.6436540692503487,0.0737704918032786,0.2786885245901639,0.7352941176470589,2.3823529411764706,2.716666666666667,4.227083333333334,0.0163934426229508,1.5737704918032789,96.91001506535626,229.2966456166068,-0.8911716256639023,5.796956212952076,0.3568667521448441,1.094388424495846,-0.8502382372229943,5.702567788456228,0.1229406273080026,0.0709666151681127,0.4793325779124529,0.269023108026048,-0.0732842702360899,2.734698678610892,0.1786646157860901,4.160537239694131
sub-0002,faces,ds007070/sub-0002/ses-02/func/sub-0002_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,118,95,107,5.841121495327103,1.5181265310720689,1.1121495327102804,0.5014526596617621,5.728971962616822,1.668634587319507,0.0654205607476635,0.2523364485981308,0.7037037037037037,2.5185185185185186,2.580952380952381,4.4523809523809526,0.0186915887850467,1.691588785046729,108.83586926099622,224.84270166320647,0.0287551138097267,5.838415823648408,0.363527926312464,1.0969680445599497,-0.1184266330747081,5.741447779088459,-0.0728175978509161,0.0670668367837132,-0.6241403988267821,0.2666187635018505,0.0039645796127129,2.5799126480219186,-0.0045080148256306,4.454563163812652
sub-0003,faces,ds007070/sub-0003/ses-02/func/sub-0003_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,128,95,122,5.950819672131147,1.514952793724318,1.1065573770491803,0.4777249294844414,5.844262295081967,1.651548193291657,0.0573770491803278,0.2622950819672131,0.625,2.1875,3.2333333333333334,5.0625,0.0163934426229508,1.7049180327868851,98.12667243627116,226.7416879456192,1.6324017483871989,5.79560320697416,0.3689793650914571,1.0924989372066067,1.2959668548360812,5.703104269767551,-0.4224141972012881,0.0660976034328983,-0.2747337102438801,0.2695265247230088,2.1575112633772067,2.7053838349982717,1.8230409429108712,4.314511220814087
sub-0004,faces,ds007070/sub-0004/ses-02/func/sub-0004_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,128,95,120,5.9,1.486069770012343,1.05,0.218858766477072,5.85,1.542942730274706,0.05,0.275,0.696969696969697,2.1818181818181817,2.5,3.8961864406779663,0.0166666666666666,1.775,96.44321472163324,224.6874031258344,1.1653546855114365,5.806778762977617,-1.148118631715832,1.0967574508931064,1.2958740165372225,5.710021312084511,-0.6848974985251964,0.0689835695958397,0.2758172110723231,0.2686504168720252,-0.8109763172372151,2.698616491069705,-1.0361805374034068,4.337269897800349
sub-0005,faces,ds007070/sub-0005/ses-02/func/sub-0005_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,121,95,116,5.7844827586206895,1.559297692986276,1.0775862068965518,0.2992995320662104,5.706896551724138,1.657747247632004,0.0689655172413793,0.2413793103448276,0.7857142857142857,2.392857142857143,2.789473684210526,4.583333333333333,0.0172413793103448,1.603448275862069,97.7758102048836,228.70650531098136,-0.0347481813278971,5.78794942401638,-0.6607747198700372,1.1037038373706636,0.2006714887929464,5.6842455866457176,-0.0511331399744227,0.0701621954359079,-1.4155334004458866,0.2727815956704748,0.232812747914567,2.7272417551964283,-0.0205979988099043,4.592927289079826
sub-0006,faces,ds007070/sub-0006/ses-02/func/sub-0006_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,95,95,86,5.906976744186046,1.5463650507047295,1.1395348837209305,0.6714828314160063,5.767441860465116,1.7196061013031008,0.0581395348837209,0.2906976744186046,0.6,2.12,2.2289156626506026,5.046686746987952,0.0348837209302325,1.6511627906976745,92.94196372430405,221.70404773081037,0.6065138924121165,5.832761327482141,0.971633366467221,1.093063236353599,0.1845129433335566,5.739698091128541,-0.2203183471369094,0.0649697288792809,1.0082872199718649,0.2630565348832213,-1.1173737414963318,2.5006691531511414,-0.4420167772048563,5.29835910124113
sub-0007,faces,ds007070/sub-0007/ses-02/func/sub-0007_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,127,95,115,5.834782608695652,1.395044077670042,1.173913043478261,0.775285680964815,5.660869565217391,1.599818830322694,0.0869565217391304,0.2260869565217391,0.9230769230769232,2.5384615384615383,2.5309734513274336,4.04646017699115,0.017391304347826,1.626086956521739,101.3285883362126,229.0479093884472,0.5602509682659343,5.780442541364211,2.436236936456368,1.092124224454993,-0.2737863135423146,5.688318316909219,1.0016483419799618,0.0657150092498196,-2.046055285889765,0.2731090169365918,-0.7656255623683949,2.719411059233401,-0.8065396075311364,4.354175254867815
sub-0008,faces,ds007070/sub-0008/ses-02/func/sub-0008_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,122,95,117,5.837606837606837,1.61329212010114,1.1196581196581197,0.4386969962559808,5.717948717948718,1.7803823390523592,0.0854700854700854,0.2735042735042735,0.65625,2.21875,2.7327586206896552,4.390086206896552,0.0085470085470085,1.6581196581196582,98.74876560272656,221.78634077764065,0.2869647561838147,5.8088222799757965,1.0074466096162285,1.0862241811404516,-0.0398693073911453,5.722598098835346,1.022086631494842,0.0620019346217756,0.4271204577533706,0.2661048302951869,0.4477484395877477,2.6348872748246204,-0.0207567361703099,4.397968366532775
sub-0009,faces,ds007070/sub-0009/ses-02/func/sub-0009_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,124,95,117,5.803418803418803,1.4927371078296603,1.0598290598290598,0.2719849859762892,5.743589743589744,1.532148852462056,0.0512820512820512,0.2564102564102564,0.5666666666666667,2.2333333333333334,2.336206896551724,3.7359913793103448,0.0085470085470085,1.641025641025641,114.63455717053009,228.0949029665909,-0.0158872811353872,5.80512349990422,-0.8180962601709915,1.0927277924348042,0.2430385405990848,5.712395707469415,-0.5701181045957153,0.0654656131894706,-0.3307668158688556,0.2630283344342642,-1.2973671931757071,2.6938539089316227,-1.5417686913126751,4.449702229127691
sub-0010,faces,ds007070/sub-0010/ses-02/func/sub-0010_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.4600000083446502,914,96,129,95,116,5.698275862068965,1.3591546451104588,1.112068965517241,0.3905748655983656,5.586206896551724,1.4510503872666884,0.0948275862068965,0.2586206896551724,0.7333333333333333,2.2333333333333334,2.526315789473684,4.239035087719298,0.0172413793103448,1.4741379310344829,108.68516117316268,227.01843109500425,-1.371007515512492,5.83167382365682,0.0821401895542439,1.1086580935079162,-1.4033746249524184,5.723015730148903,1.180633661325198,0.0704682076377053,-0.6068571993431553,0.2708666167813076,-0.4085411322220658,2.6524103441529023,0.2295951999267033,4.1311708659345046
