subject,task,key,tr,n_volumes,n_anchors,n_peaks,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surrmean_mean_H,surz_mean_D,surrmean_mean_D,surz_mean_lambda,surrmean_mean_lambda,surz_multilevel,surrmean_multilevel,surz_pivot_rate,surrmean_pivot_rate,surz_tree_span_events,surrmean_tree_span_events,surz_tree_span_time,surrmean_tree_span_time
sub-0001,faces,ds007070/sub-0001/ses-02/func/sub-0001_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,133,95,122,5.721311475409836,1.5388215684531614,1.1065573770491803,0.42265154843134123,5.614754098360656,1.6436540692503487,0.07377049180327869,0.2786885245901639,0.7352941176470589,2.3823529411764706,2.716666666666667,4.227083333333334,0.01639344262295082,1.5737704918032787,96.91001506535626,229.2966456166068,-0.8911716256639023,5.796956212952076,0.3568667521448441,1.094388424495846,-0.8502382372229943,5.702567788456228,0.12294062730800268,0.07096661516811276,0.4793325779124529,0.26902310802604806,-0.07328427023608998,2.7346986786108918,0.17866461578609016,4.160537239694131
sub-0002,faces,ds007070/sub-0002/ses-02/func/sub-0002_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,118,95,107,5.841121495327103,1.5181265310720689,1.1121495327102804,0.5014526596617621,5.728971962616822,1.668634587319507,0.06542056074766354,0.2523364485981308,0.7037037037037037,2.5185185185185186,2.580952380952381,4.4523809523809526,0.018691588785046728,1.691588785046729,108.83586926099622,224.84270166320647,0.028755113809726708,5.838415823648408,0.36352792631246406,1.0969680445599495,-0.11842663307470815,5.741447779088459,-0.07281759785091614,0.06706683678371324,-0.6241403988267821,0.2666187635018505,0.003964579612712992,2.5799126480219186,-0.004508014825630619,4.454563163812652
sub-0003,faces,ds007070/sub-0003/ses-02/func/sub-0003_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,128,95,122,5.950819672131147,1.514952793724318,1.1065573770491803,0.4777249294844414,5.844262295081967,1.651548193291657,0.05737704918032787,0.26229508196721313,0.625,2.1875,3.2333333333333334,5.0625,0.01639344262295082,1.7049180327868851,98.12667243627115,226.74168794561922,1.6324017483871989,5.79560320697416,0.3689793650914571,1.0924989372066067,1.2959668548360812,5.703104269767551,-0.42241419720128814,0.06609760343289837,-0.2747337102438801,0.2695265247230088,2.1575112633772067,2.7053838349982713,1.8230409429108712,4.314511220814087
sub-0004,faces,ds007070/sub-0004/ses-02/func/sub-0004_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,128,95,120,5.9,1.486069770012343,1.05,0.21885876647707206,5.85,1.5429427302747059,0.05,0.275,0.696969696969697,2.1818181818181817,2.5,3.8961864406779663,0.016666666666666666,1.775,96.44321472163323,224.68740312583438,1.1653546855114365,5.806778762977617,-1.148118631715832,1.0967574508931064,1.2958740165372225,5.710021312084511,-0.6848974985251964,0.06898356959583975,0.27581721107232315,0.26865041687202523,-0.8109763172372151,2.6986164910697052,-1.0361805374034068,4.337269897800349
sub-0005,faces,ds007070/sub-0005/ses-02/func/sub-0005_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,121,95,116,5.7844827586206895,1.559297692986276,1.0775862068965518,0.2992995320662104,5.706896551724138,1.657747247632004,0.06896551724137931,0.2413793103448276,0.7857142857142857,2.392857142857143,2.789473684210526,4.583333333333333,0.017241379310344827,1.603448275862069,97.7758102048836,228.70650531098138,-0.034748181327897136,5.78794942401638,-0.6607747198700372,1.1037038373706636,0.2006714887929464,5.6842455866457176,-0.05113313997442274,0.07016219543590797,-1.4155334004458866,0.2727815956704748,0.232812747914567,2.7272417551964283,-0.020597998809904396,4.592927289079826
sub-0006,faces,ds007070/sub-0006/ses-02/func/sub-0006_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,95,95,86,5.906976744186046,1.5463650507047295,1.1395348837209303,0.6714828314160063,5.767441860465116,1.7196061013031008,0.05813953488372093,0.29069767441860467,0.6,2.12,2.2289156626506026,5.046686746987952,0.03488372093023256,1.6511627906976745,92.94196372430403,221.70404773081034,0.6065138924121165,5.832761327482141,0.971633366467221,1.093063236353599,0.18451294333355664,5.739698091128541,-0.22031834713690945,0.06496972887928096,1.0082872199718647,0.2630565348832213,-1.1173737414963318,2.5006691531511414,-0.4420167772048563,5.29835910124113
sub-0007,faces,ds007070/sub-0007/ses-02/func/sub-0007_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,127,95,115,5.834782608695652,1.3950440776700421,1.173913043478261,0.775285680964815,5.660869565217391,1.599818830322694,0.08695652173913043,0.22608695652173913,0.9230769230769231,2.5384615384615383,2.5309734513274336,4.04646017699115,0.017391304347826087,1.626086956521739,101.3285883362126,229.0479093884472,0.5602509682659343,5.780442541364211,2.436236936456368,1.092124224454993,-0.2737863135423146,5.688318316909219,1.0016483419799618,0.06571500924981961,-2.046055285889765,0.27310901693659184,-0.7656255623683949,2.719411059233401,-0.8065396075311364,4.3541752548678145
sub-0008,faces,ds007070/sub-0008/ses-02/func/sub-0008_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,122,95,117,5.837606837606837,1.6132921201011399,1.1196581196581197,0.43869699625598085,5.717948717948718,1.7803823390523592,0.08547008547008547,0.27350427350427353,0.65625,2.21875,2.7327586206896552,4.390086206896552,0.008547008547008548,1.6581196581196582,98.74876560272656,221.78634077764062,0.2869647561838147,5.8088222799757965,1.0074466096162285,1.0862241811404516,-0.03986930739114538,5.722598098835346,1.022086631494842,0.06200193462177563,0.42712045775337065,0.26610483029518694,0.4477484395877477,2.6348872748246204,-0.02075673617030996,4.3979683665327745
sub-0009,faces,ds007070/sub-0009/ses-02/func/sub-0009_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,124,95,117,5.803418803418803,1.4927371078296605,1.0598290598290598,0.2719849859762892,5.743589743589744,1.5321488524620561,0.05128205128205128,0.2564102564102564,0.5666666666666667,2.2333333333333334,2.336206896551724,3.7359913793103448,0.008547008547008548,1.641025641025641,114.63455717053009,228.0949029665909,-0.01588728113538729,5.80512349990422,-0.8180962601709915,1.0927277924348042,0.24303854059908483,5.7123957074694145,-0.5701181045957153,0.06546561318947065,-0.33076681586885565,0.26302833443426427,-1.2973671931757071,2.6938539089316227,-1.5417686913126751,4.449702229127691
sub-0010,faces,ds007070/sub-0010/ses-02/func/sub-0010_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,129,95,116,5.698275862068965,1.3591546451104588,1.1120689655172413,0.3905748655983656,5.586206896551724,1.4510503872666884,0.09482758620689655,0.25862068965517243,0.7333333333333333,2.2333333333333334,2.526315789473684,4.239035087719298,0.017241379310344827,1.4741379310344827,108.68516117316267,227.01843109500425,-1.3710075155124921,5.8316738236568195,0.08214018955424393,1.1086580935079162,-1.4033746249524184,5.723015730148903,1.180633661325198,0.07046820763770531,-0.6068571993431553,0.2708666167813076,-0.4085411322220658,2.6524103441529023,0.2295951999267033,4.1311708659345046
sub-0011,faces,ds007070/sub-0011/ses-02/func/sub-0011_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,125,95,111,5.774774774774775,1.3730171467159777,1.09009009009009,0.34508364070572667,5.684684684684685,1.445884328216296,0.07207207207207207,0.27927927927927926,0.6451612903225806,2.161290322580645,2.9454545454545453,5.046022727272727,0.009009009009009009,1.6396396396396395,104.18871735178111,228.6617153403155,-0.19952702218903914,5.793534497708261,-0.34267440627623624,1.1048375892420168,-0.034206503510137584,5.688696908466241,-0.09965190147034564,0.07481299056151894,0.22363492877922847,0.2740364604849436,0.9142990917409664,2.662770688243894,1.5530805855628593,4.293093054981369
sub-0013,faces,ds007070/sub-0013/ses-02/func/sub-0013_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,132,95,122,5.942622950819672,1.4333638429393165,1.1311475409836065,0.5447088792884887,5.811475409836065,1.591983882207514,0.09016393442622951,0.27049180327868855,0.6060606060606061,2.0606060606060606,2.808333333333333,4.276041666666667,0.01639344262295082,1.7049180327868851,102.06514823662283,228.91325004341908,1.381685198450837,5.824281901843401,1.1310378817625222,1.0868704803629876,0.6815494021667627,5.737411421480413,1.2634837044069078,0.061971185084695485,0.06147960268544825,0.269189805831098,0.2685841690364131,2.7306074281564867,0.2883596668953092,4.150234608754187
sub-0014,faces,ds007070/sub-0014/ses-02/func/sub-0014_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,119,95,106,5.952830188679245,1.3619459150977298,1.1132075471698113,0.4844388942149589,5.839622641509434,1.5190021314310271,0.07547169811320754,0.2641509433962264,0.7857142857142857,2.2857142857142856,2.375,4.290865384615385,0.018867924528301886,1.7735849056603774,96.70851408490664,228.2533648738792,1.3353340916752308,5.806155074213891,0.8135861616576588,1.0854699300643678,1.009573824343571,5.720685144149522,0.8327794104979827,0.06012117584711411,-0.7109376552154345,0.27979430377112086,-0.7277479582694063,2.608270625248768,-0.3204182360072291,4.4625943978055505
sub-0016,faces,ds007070/sub-0016/ses-02/func/sub-0016_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,127,95,114,5.833333333333333,1.3231543610353418,1.1842105263157894,0.6319766640937089,5.649122807017544,1.5399256167552229,0.10526315789473684,0.23684210526315788,0.5925925925925926,2.037037037037037,2.7410714285714284,4.325892857142857,0.017543859649122806,1.6140350877192982,96.27269453706079,229.57221713494383,0.5949505535916092,5.7826671268165954,1.903956600921444,1.1054235241726367,-0.3130118739009091,5.677243602643956,1.0989701041681526,0.07659451875063006,-1.3221363456979662,0.2691348514708694,0.4848801224748631,2.6185988385180266,0.37187773498284993,4.163740639161608
sub-0017,faces,ds007070/sub-0017/ses-02/func/sub-0017_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,121,95,114,5.824561403508772,1.5124592529293024,1.1228070175438596,0.37957477086337277,5.701754385964913,1.677175378090913,0.10526315789473684,0.2543859649122807,0.6896551724137931,2.206896551724138,3.1238938053097347,5.063053097345133,0.008771929824561403,1.605263157894737,96.70907893213928,229.45879105581207,0.35833849578870164,5.793794462236979,0.7715956118669124,1.0962433126108748,0.04304615246382049,5.697551149626105,1.9219956021284557,0.06880004712585075,-1.1865131738971657,0.2763526374592154,1.46974206694706,2.718552522445815,1.1637855556783963,4.516514696890487
sub-0018,faces,ds007070/sub-0018/ses-02/func/sub-0018_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,124,95,112,5.723214285714286,1.4345154653521934,1.0446428571428572,0.2074466329784736,5.678571428571429,1.4960264830861913,0.044642857142857144,0.26785714285714285,0.7333333333333333,2.1,2.809090909090909,4.605681818181818,0.017857142857142856,1.6428571428571428,103.37682856890085,225.06767624278717,-0.6794659288939281,5.7930221813449805,-1.0177446819582951,1.0871727844915589,-0.22301306029110385,5.705849396853423,-0.7056674039629964,0.06282903668518229,-0.6635341836909239,0.2809627910055012,0.13432030020643093,2.774105586779299,0.1442193189592045,4.5375606128111245
sub-0019,faces,ds007070/sub-0019/ses-02/func/sub-0019_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,129,95,120,5.958333333333333,1.491690335164242,1.0833333333333333,0.42174773082896816,5.875,1.5694697493477365,0.058333333333333334,0.26666666666666666,0.625,2.0625,3.0,4.600840336134453,0.008333333333333333,1.7583333333333333,105.8492110351629,228.73414702559097,1.0628571675337268,5.847636187613342,-0.6188338220833931,1.1099345590790473,1.2062449370507715,5.737701628534297,-0.5931910979424724,0.07343425103012752,0.19693064780900774,0.2625500707460283,1.5836937555467197,2.5812107752183504,1.3297971113664093,4.060440373658721
sub-0020,faces,ds007070/sub-0020/ses-02/func/sub-0020_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,118,95,111,5.846846846846847,1.459752147070293,1.09009009009009,0.39426685816380175,5.756756756756757,1.5504616099507926,0.06306306306306306,0.2702702702702703,0.6666666666666666,2.2,2.9724770642201834,5.064220183486238,0.018018018018018018,1.6216216216216217,107.2880258866781,228.1848686839253,0.3287103486923906,5.808477697426491,-0.0232092209401795,1.091102086166311,0.2768897188687346,5.717375611260179,-0.19451429554339458,0.0681636380453668,0.01198112319427256,0.27002318341450426,0.7880794697027594,2.7306742346630437,0.7327890373362524,4.687397389891371
sub-0021,faces,ds007070/sub-0021/ses-02/func/sub-0021_ses-02_task-faces_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,914,96,116,95,112,5.794642857142857,1.4773874729311012,1.0982142857142858,0.40179375796324157,5.696428571428571,1.6098754118560983,0.07142857142857142,0.2857142857142857,0.6875,2.4375,2.761467889908257,4.514334862385321,0.026785714285714284,1.625,91.42974144701137,226.20600336059485,-0.3795818212001838,5.836260970998194,0.055962470970259394,1.0954747915513245,-0.333118168977505,5.74078617944687,0.11367032269283148,0.06869251008058838,0.6801058828728067,0.27175754349653425,0.33105194322973913,2.6797625231603535,-0.20375834707054935,4.604820724138078
