subject,task,key,tr,n_volumes,n_anchors,n_peaks,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surrmean_mean_H,surz_mean_D,surrmean_mean_D,surz_mean_lambda,surrmean_mean_lambda,surz_multilevel,surrmean_multilevel,surz_pivot_rate,surrmean_pivot_rate,surz_tree_span_events,surrmean_tree_span_events,surz_tree_span_time,surrmean_tree_span_time
sub-0001,fractional,ds007070/sub-0001/ses-04/func/sub-0001_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1323,20,181,19,166,7.301204819277109,1.2814285566014219,1.2048192771084338,0.683290366328291,7.096385542168675,1.6264067688401629,0.10240963855421686,0.28313253012048195,0.5957446808510638,1.7872340425531914,3.049689440993789,0.6972049689440993,0.030120481927710843,4.144578313253012,109.97524180543914,228.07479594741832,0.8725198505729953,7.228114242114476,0.4942710201511773,1.1866209725346977,0.5036671041344379,7.041493269579777,-0.37946480376424085,0.11084945017543886,0.6181338747108329,0.2684640649713824,-0.5704858350888804,3.2811676212610776,-0.605226018190948,0.7528722559717939
sub-0002,fractional,ds007070/sub-0002/ses-04/func/sub-0002_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1323,20,171,19,157,7.1210191082802545,1.277770085210236,1.197452229299363,0.5597560188045745,6.923566878980892,1.5670542398688176,0.1337579617834395,0.2611464968152866,0.5365853658536586,1.7317073170731707,2.9415584415584415,0.7074878246753247,0.01910828025477707,3.9745222929936306,114.53285217946174,229.2299534032842,-1.5476024854570858,7.216450574337208,0.5486591191700076,1.1735926559684031,-1.3267907074114667,7.042857918368807,2.0273045006013337,0.09886447855008648,0.23879323347635972,0.2573223824772678,-0.5310892818337453,3.169112975166705,-0.555921204452782,0.7690567819197973
sub-0004,fractional,ds007070/sub-0004/ses-04/func/sub-0004_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1323,20,173,19,161,7.204968944099379,1.3375257587349498,1.1490683229813665,0.5501270321960148,7.055900621118012,1.5939277242278307,0.08074534161490683,0.2857142857142857,0.5,1.6304347826086956,2.8867924528301887,0.6945754716981132,0.012422360248447204,4.105590062111801,119.32755550930732,229.83967059988004,0.33043057416969457,7.188888971025168,-0.7338627448595482,1.185832723052423,0.6623235465860141,7.0030562479727445,-1.3053314042091588,0.10941458792538844,0.1977105383310815,0.2823767442364108,-0.7371102822658758,3.1540031485992093,-0.7429004888856796,0.7607715392921044
sub-0008,fractional,ds007070/sub-0008/ses-04/func/sub-0008_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1323,20,182,19,164,7.2073170731707314,1.3633035020585562,1.1646341463414633,0.5228219678965467,7.0426829268292686,1.6330580661183118,0.10975609756097561,0.2926829268292683,0.6041666666666666,1.7291666666666667,3.4478527607361964,0.8055981595092024,0.006097560975609756,4.067073170731708,116.85607800909406,228.7509042872399,0.06828811976854893,7.2015639214328315,-0.4551415043992362,1.183142068714785,0.21580272849849363,7.0184218527180455,0.3958618555097695,0.10290048217286539,0.6204790546384308,0.28148351948926825,0.3124081125072887,3.3315764133759487,0.5322350651227759,0.7596341707117926
sub-0013,fractional,ds007070/sub-0013/ses-04/func/sub-0013_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1234,19,190,18,177,7.2259887005649714,1.240785244350879,1.2146892655367232,0.7144682061982938,7.011299435028248,1.5447443910540217,0.11299435028248588,0.3050847457627119,0.6851851851851852,1.7777777777777777,2.761627906976744,0.5574127906976745,0.02824858757062147,4.090395480225989,116.11588147709182,220.76268197504174,0.28812697089531575,7.206677703356546,0.5992951341115729,1.1814601177131236,-0.1203022723253487,7.025217585643423,0.16964939522625996,0.10770560325506205,-0.22011454874028674,0.30801603021993557,-1.3447047011955002,3.294918412529611,-1.416762326902196,0.6761984281652923
sub-0017,fractional,ds007070/sub-0017/ses-04/func/sub-0017_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1323,20,161,19,146,7.328767123287672,1.2490525459866795,1.13013698630137,0.5019094385978546,7.198630136986301,1.46978705008676,0.07534246575342465,0.2534246575342466,0.5675675675675675,1.7837837837837838,3.375,0.8747829861111112,0.0136986301369863,4.280821917808219,111.4748787575639,228.49364952939123,1.2707393885103424,7.19907315535698,-1.2628298109320883,1.1916770858546217,1.320851961706909,7.0073960695023585,-1.4640324662647577,0.11140645817892733,-0.31761805779347907,0.26073813178501704,0.6184451888163262,3.1607473741728516,0.7171234812949299,0.8068984957766513
sub-0021,fractional,ds007070/sub-0021/ses-04/func/sub-0021_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1322,20,180,19,163,7.134969325153374,1.2448180858882476,1.2024539877300613,0.7466758366041903,6.932515337423313,1.5639804960571797,0.09202453987730061,0.2331288343558282,0.6578947368421053,1.8157894736842106,3.610062893081761,0.835691823899371,0.024539877300613498,4.042944785276074,122.97100602590714,229.99131386159337,-0.9553374398350731,7.181624224182597,0.5126370720451211,1.1852325791436291,-0.9498756804758173,6.996391645038966,-0.9663989857809396,0.10973360887599558,-1.7531129129851644,0.2546807723964115,0.8232157557620686,3.2336058310263422,0.8617432663020842,0.7472886921440431
sub-0023,fractional,ds007070/sub-0023/ses-04/func/sub-0023_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1322,20,175,19,159,7.2075471698113205,1.3124306935196892,1.169811320754717,0.5975429349524062,7.037735849056604,1.5786823236958565,0.0880503144654088,0.2578616352201258,0.5609756097560976,1.7317073170731707,3.1337579617834397,0.7496019108280255,0.012578616352201259,4.09433962264151,114.61333335521014,229.58197536642916,0.03488268919599334,7.204562110012203,-0.3668622622634518,1.1885923665989682,0.1732435859195862,7.015969743413236,-0.6934393482711503,0.1089381786025856,-0.3124506566958292,0.2636830733591551,-0.20385329331464433,3.212687866907374,-0.14316173917870748,0.7626506139391657
sub-0024,fractional,ds007070/sub-0024/ses-04/func/sub-0024_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1322,20,184,19,168,7.303571428571429,1.1774270567255214,1.125,0.4793645994039158,7.178571428571429,1.3985511261131778,0.08333333333333333,0.2261904761904762,0.6578947368421053,1.7894736842105263,2.7195121951219514,0.6175685975609756,0.023809523809523808,4.214285714285714,114.3416565680541,226.6128441175138,1.2043613121535313,7.21052445320889,-1.1674409420628142,1.1832341928813395,1.3727401288046792,7.0272902603275496,-0.8507682260057857,0.10478596525477875,-2.32937768282261,0.25544732194265585,-1.6524735489818894,3.25696055860117,-1.5647957881897796,0.73378459238878
sub-0029,fractional,ds007070/sub-0029/ses-04/func/sub-0029_ses-04_task-fractional_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,1322,20,199,19,182,7.241758241758242,1.2817517307345798,1.1868131868131868,0.6022441991462082,7.054945054945055,1.6207401444244205,0.10989010989010989,0.3131868131868132,0.6140350877192983,1.7017543859649122,3.5865921787709496,0.7474685754189944,0.016483516483516484,4.093406593406593,117.53218091778923,229.86039720514447,0.9395050099293484,7.186621180967813,-0.5614484279767604,1.2084305566216045,0.8777797102046672,6.978190624346209,-0.2885395424140664,0.11602049254202658,0.3243424029385702,0.3083103473511074,1.0531045936273926,3.272956819013013,0.9700701610695373,0.6872930277971319
