subject,task,key,tr,n_volumes,n_anchors,n_peaks,n_frames,n_events,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,projection_depth_mean,projection_error_ms_mean,projection_error_ms_max,surz_mean_H,surrmean_mean_H,surz_mean_D,surrmean_mean_D,surz_mean_lambda,surrmean_mean_lambda,surz_multilevel,surrmean_multilevel,surz_pivot_rate,surrmean_pivot_rate,surz_tree_span_events,surrmean_tree_span_events,surz_tree_span_time,surrmean_tree_span_time
sub-0001,narratives,ds007070/sub-0001/ses-02/func/sub-0001_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,937,18,133,16,106,6.9245283018867925,1.4322683521340225,1.0849056603773586,0.3682112366900252,6.839622641509434,1.562274242450837,0.0660377358490566,0.2641509433962264,0.6428571428571429,1.8571428571428572,2.392156862745098,0.7455575980392157,0.03773584905660377,3.8679245283018866,108.57478972415201,226.68538438722706,1.2983460225470567,6.802383123074642,-1.6289705563719943,1.182425020482357,1.6496433741662715,6.6199581025922845,-1.4039018222385231,0.10460017018864795,-0.034823465017846805,0.2648557707684837,-1.4360501545734998,2.815021941656597,-1.224773928972001,0.8580958692320184
sub-0002,narratives,ds007070/sub-0002/ses-02/func/sub-0002_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,118,16,93,6.78494623655914,1.4733093654112528,1.1505376344086022,0.5700159524682237,6.634408602150538,1.7053939123988153,0.08602150537634409,0.24731182795698925,0.6086956521739131,2.0,2.853932584269663,1.0136938202247192,0.043010752688172046,3.6236559139784945,110.8597547777601,228.9044233293864,-0.7988186869707968,6.854405236054813,-0.10730396679678303,1.1566922839438147,-0.5072917638041354,6.697712952110998,-0.2931127710580976,0.09516509004307985,-0.49805594689956734,0.26039502329967046,0.7435966462640223,2.62412125195872,1.0454040845229138,0.8997922312118368
sub-0003,narratives,ds007070/sub-0003/ses-02/func/sub-0003_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,133,16,105,6.809523809523809,1.5633742975177742,1.276190476190476,0.727155127022136,6.533333333333333,1.96638416050035,0.1619047619047619,0.2571428571428571,0.7037037037037037,2.074074074074074,2.5643564356435644,0.7572710396039604,0.0380952380952381,3.6095238095238096,91.00032268891235,224.69689865620046,-1.0969026985355104,6.919666571349853,1.6667374875299226,1.182947389891646,-1.6327973264793407,6.736719181458205,1.6257875267829887,0.11092297856835234,-0.3341766695951669,0.26452854606016957,-1.062821786264329,2.893804903786744,-1.2941348477958083,0.8754762801065883
sub-0004,narratives,ds007070/sub-0004/ses-02/func/sub-0004_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,130,16,101,6.801980198019802,1.3267991707880888,1.198019801980198,0.6785248997671054,6.603960396039604,1.6557729791296394,0.0891089108910891,0.21782178217821782,0.6363636363636364,2.0,2.7216494845360826,0.8605025773195877,0.039603960396039604,3.6930693069306932,104.11457676723504,225.26313884183904,-0.9198989150641226,6.900413484509455,0.5349032555388403,1.1670900607718544,-0.917259840570669,6.733323423737602,-0.6220056363447198,0.10376712571302596,-2.1266884763999436,0.26261395207395777,0.35854570916667755,2.609598630592507,0.5360042751894486,0.8113499092672714
sub-0005,narratives,ds007070/sub-0005/ses-02/func/sub-0005_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,132,16,104,6.884615384615385,1.3603803887483503,1.1634615384615385,0.6402453553218503,6.721153846153846,1.65145849495759,0.07692307692307693,0.2692307692307692,0.5714285714285714,1.7142857142857142,3.3465346534653464,1.0035581683168318,0.028846153846153848,3.798076923076923,98.42337450730156,229.8941026175853,-0.3111299780496336,6.915594136146011,0.18637854634420647,1.1535103041936539,-0.32103850473062717,6.762083831952356,-0.5486441638291509,0.09115758628770336,0.4153599205760242,0.25606506960035413,1.8954365724011177,2.798615226852388,1.8088069158824582,0.8516103042008095
sub-0006,narratives,ds007070/sub-0006/ses-02/func/sub-0006_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,119,16,92,6.934782608695652,1.3326363841804227,1.173913043478261,0.6395172570195431,6.760869565217392,1.6332369613166355,0.08695652173913043,0.2826086956521739,0.46153846153846156,1.6923076923076923,2.433333333333333,0.8032986111111111,0.021739130434782608,3.7717391304347827,106.00877100603282,227.040820762904,0.6420407153362211,6.862202301689662,-0.11520433123128333,1.180400929472395,0.5373217223383967,6.681801372217266,-0.8464964369464704,0.1114751496523242,0.7439902691190792,0.2649427875659001,-0.8512239539445579,2.7054692437076713,-1.1490422772083682,0.9293335195248432
sub-0007,narratives,ds007070/sub-0007/ses-02/func/sub-0007_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,131,16,103,6.912621359223301,1.3583929094345477,1.2233009708737863,0.7660957657198935,6.689320388349515,1.686329848259011,0.0970873786407767,0.2621359223300971,0.48148148148148145,1.7407407407407407,3.04,0.94125,0.02912621359223301,3.70873786407767,107.57708472484467,225.4825732990226,0.432009300647451,6.877567040004545,1.164345106750414,1.1679998910749592,-0.1914357819350728,6.709567148929586,-0.23042408786598886,0.10386396134294215,0.2490891436107948,0.2568744155268213,1.0913969343379037,2.7897801892612923,1.3239913234188658,0.8448712251902953
sub-0008,narratives,ds007070/sub-0008/ses-02/func/sub-0008_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,122,16,98,6.653061224489796,1.492952798339113,1.2244897959183674,0.6012120446025809,6.428571428571429,1.752759238587436,0.15306122448979592,0.25510204081632654,0.68,2.0,2.5473684210526315,0.8407894736842105,0.030612244897959183,3.4591836734693877,105.09262632852867,229.9425508176042,-1.6344984568760186,6.8615933127181234,0.7530682001974233,1.1773192665372119,-1.5259278755548826,6.684274046180912,1.3773667320835088,0.10878300345136224,-0.3821687771845819,0.26340049895729,-0.4372385028498991,2.698113701127335,-0.561772716501282,0.9044989261188785
sub-0010,narratives,ds007070/sub-0010/ses-02/func/sub-0010_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,128,16,99,6.797979797979798,1.3995611409805633,1.1616161616161615,0.5289008762320158,6.636363636363637,1.6503218328961113,0.10101010101010101,0.26262626262626265,0.5384615384615384,2.0,2.5833333333333335,0.8277994791666666,0.030303030303030304,3.717171717171717,94.33738365640947,227.4971359273584,-0.9595916330853264,6.90436213067652,0.086008439904355,1.1566912990606324,-0.773626798175286,6.7476708316158875,0.30496782937725425,0.09242470607904253,0.05553406838836907,0.2615175994174923,-0.429357606808443,2.7073246584305277,-0.32659310736669356,0.8587850726239424
sub-0011,narratives,ds007070/sub-0011/ses-02/func/sub-0011_ses-02_task-narratives_acq-mb8_run-01_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz,0.46000000834465027,967,18,131,16,105,6.704761904761905,1.440644951213822,1.1523809523809523,0.5508900557097156,6.552380952380952,1.6755076864419356,0.08571428571428572,0.2571428571428571,0.7777777777777778,2.0,2.592233009708738,0.7918689320388349,0.01904761904761905,3.580952380952381,101.72757637660769,227.45168728011055,-2.502689262006242,6.922715292004598,-0.2600536800796971,1.1682741644363035,-1.530907143152586,6.754441127568294,-0.4413018734893898,0.09909173600073337,-0.05144053139937442,0.2584688895726171,-0.651486704132926,2.7785415133298383,-0.6975444997553186,0.8534023797653872
