task,feature,n,mean_z,t,p,q_BH
faces,mean_H,106,-0.015381299490956062,-0.16437935776327145,0.8697485340411077,0.8697485340411077
faces,mean_D,106,0.2631897733043554,2.4218846635560305,0.017153884211168344,0.0956188100244438
faces,mean_lambda,106,-0.11739088592774016,-1.2287115534133595,0.22192673016124922,0.3883717777821861
faces,multilevel,106,0.23284569414420522,2.2381871645588856,0.027319660006983944,0.0956188100244438
faces,pivot_rate,106,-0.1477319016101714,-1.3919415246293771,0.16688152156341043,0.3883717777821861
faces,tree_span_events,106,-0.045496682227040765,-0.4421957404073337,0.6592570491993949,0.7691332240659606
faces,tree_span_time,106,-0.059661527636483136,-0.5828500515152776,0.5612439121631273,0.7691332240659606
fractional,mean_H,28,0.028522581097891707,0.1804455923516559,0.8581503458301424,0.8581503458301424
fractional,mean_D,28,-0.2150837826382166,-1.073806610793173,0.29241283044268196,0.6625437629473668
fractional,mean_lambda,28,0.10281833060757238,0.6014208422002311,0.552576343453926,0.6625437629473668
fractional,multilevel,28,-0.20377573369351257,-1.0150376380102266,0.3190979706298281,0.6625437629473668
fractional,pivot_rate,28,0.2653935662818471,1.4437634111889208,0.16030956869955196,0.6625437629473668
fractional,tree_span_events,28,-0.12496092095042907,-0.5782394100432237,0.5678946539548858,0.6625437629473668
fractional,tree_span_time,28,-0.1603815161463132,-0.7328553880927634,0.4699617717002236,0.6625437629473668
narratives,mean_H,104,-0.08493831133513262,-0.7560279396331385,0.4513580747280389,0.4513580747280389
narratives,mean_D,104,0.2048498604063735,1.8816507923621426,0.06270683539538231,0.2194739238838381
narratives,mean_lambda,104,-0.1484097156718831,-1.3639805229130357,0.17554695626057942,0.28478341430115417
narratives,multilevel,104,0.23041584927163902,2.0389027482768105,0.04402106387998688,0.2194739238838381
narratives,pivot_rate,104,-0.12670630760441154,-1.3622989261668992,0.17607519424611576,0.28478341430115417
narratives,tree_span_events,104,-0.08003015165013368,-0.838169672723573,0.4038762668159531,0.4513580747280389
narratives,tree_span_time,104,-0.11978049272659909,-1.2800108840025677,0.20341672450082443,0.28478341430115417
shortvideo,mean_H,99,-0.05418477278974267,-0.5331879950338481,0.5951105734327758,0.6942956690049051
shortvideo,mean_D,99,-0.1588753477006581,-1.4169196721615167,0.1596776020643419,0.27943580361259834
shortvideo,mean_lambda,99,0.022354632396142018,0.22332034097786682,0.823751041373106,0.8237510413731061
shortvideo,multilevel,99,-0.11352408728821486,-1.064367053564491,0.2897779658027911,0.40568915212390755
shortvideo,pivot_rate,99,0.2262902057580373,2.4217878159238007,0.017282986365592667,0.12098090455914867
shortvideo,tree_span_events,99,-0.16949787082492943,-1.6723152835672477,0.09765202072168538,0.22785471501726592
shortvideo,tree_span_time,99,-0.1876298043624959,-1.8268275943060628,0.07076962024444791,0.22785471501726592
