row_id,subject,session,speed_mean,theta_power,theta_frequency,theta_amp_cv,theta_cycle_duration_sd,raw_firing_rate,population_event_rate,active_units,events_per_cycle_mean,events_per_cycle_sd,events_per_cycle_q25,events_per_cycle_median,events_per_cycle_q75,frac_cycles_ge2,phase_sin,phase_cos,phase_R,phase_entropy8,population_isi_cv,cycle_phase_R_mean,cycle_phase_R_sd,cycle_phase_entropy8_mean,cycle_phase_entropy8_sd,cycle_pairdist_mean,cycle_pairdist_sd,cycle_gap_cv_mean,cycle_gap_cv_sd,cycle_occ32_mean,cycle_occ32_sd,n_ca1_pyramidal,n_theta_cycles,n_phase_events,lfp_source,tma_mean_d4,tma_sd_d4,tma_mean_d5,tma_sd_d5,tma_mean_d6,tma_sd_d6
M01_20240318:0,M01,M01_20240318,9.906081603647591,6.555205607872258e-09,8.62068965517271,0.4091724157333374,0.019207841535905643,41.5,39.8,31,4.5813953488372094,3.417825646188351,2.0,4.0,7.0,0.7790697674418605,0.13829580667562907,-0.05612547644523701,0.14925079313111816,0.9892145757381613,1.4613542561305668,0.5625022958024413,0.24154516864089737,0.542801065323841,0.19497561855569323,0.209606131217842,0.06583749910705382,0.922108684870418,0.4446045029760549,0.9374555792466239,0.09757883266240897,74,86,398,Best_Ripple_channel_LFP_CA1,0.951226303397829,0.135985555256159,0.9647317568670498,0.11662685095238688,0.9734845943882438,0.10039446525517585
M01_20240318:1,M01,M01_20240318,10.917908859289149,8.636217604152553e-09,8.603441376550538,0.4758268892765045,0.012772833688582733,56.9,52.9,38,6.151162790697675,4.618422042367144,3.0,5.0,8.0,0.8488372093023255,0.22344394629439943,-0.013710311963548466,0.22386417710243922,0.9722911827300198,1.8061624493830826,0.5079426738432298,0.23006390012580116,0.6005433931607075,0.18583974138215975,0.22137927158556445,0.05866591378764473,0.9774197459024541,0.5039731772486615,0.9011563368538855,0.11664433644770551,74,86,529,Best_Ripple_channel_LFP_CA1,0.9304068646873912,0.1337518307714125,0.9480558310357415,0.12003379341131822,0.9638841545334432,0.10147188871609271
M01_20240318:2,M01,M01_20240318,9.826889645431109,7.303830290020558e-09,8.437123342707803,0.4826067090034485,0.018953637912835743,50.9,47.8,39,5.690476190476191,4.703180647630448,2.0,4.0,9.0,0.8095238095238095,0.062085708123050344,9.610246329909997e-05,0.06208578250150393,0.9955658246898441,1.5846130256854811,0.5175865470363804,0.27843688537332284,0.5589994765932381,0.22556870345745256,0.21855601498118976,0.08455616024323996,0.9049560629792187,0.550267682229634,0.932542066636494,0.09393513401222976,74,84,478,Best_Ripple_channel_LFP_CA1,0.9348364060327442,0.15691173013072984,0.9559718528706116,0.12802506211973783,0.9690948417373423,0.10690493328269961
M01_20240318:3,M01,M01_20240318,10.802712159060015,5.84207654784599e-09,7.970137207425132,0.5312337875366211,0.019847389186292707,80.4,75.2,41,9.455696202531646,5.997429937501713,5.0,9.0,13.0,0.9493670886075949,0.11062320537697862,-0.04577239076746494,0.11971885951865187,0.9912436366091799,1.4637985370929787,0.3615687778985111,0.21366281454169422,0.6944849665586639,0.18820640127315358,0.24398492545413986,0.05801340346015649,0.9487360880157466,0.427510197616941,0.8869802948456199,0.12752579445935366,74,79,752,Best_Ripple_channel_LFP_CA1,0.9703073495220559,0.14495068046037166,0.983368989016883,0.13122985971885026,0.9933827556267535,0.11171600190389647
M01_20240318:4,M01,M01_20240318,1.0845853527123421,8.200662820239394e-09,8.562325766626953,0.4424934387207031,0.016823734130569947,85.8,69.4,46,8.127906976744185,4.450502976539399,5.0,8.0,11.0,0.9534883720930233,0.13214203458332655,0.013467410188385869,0.1328265351539492,0.9914261328242839,1.4589758514506006,0.4293039029695839,0.24158343664758236,0.6606556733557869,0.19879022735735277,0.23130929482090795,0.067175431406416,1.0120177144838747,0.4099001736563838,0.9019942090786123,0.11493078230358975,74,86,694,Best_Ripple_channel_LFP_CA1,0.9536009100887964,0.14645611200299483,0.9716041902875837,0.13409196134449267,0.9823643104215968,0.11670230005228212
M01_20240318:5,M01,M01_20240318,11.156988672145145,4.564291396448417e-09,8.356545961003052,0.5165996551513672,0.018650451936328204,75.5,69.9,42,8.333333333333334,6.116013611001846,3.75,7.5,12.0,0.8571428571428571,0.0778569121439405,-0.007228312877552335,0.07819173406214405,0.9967507195848022,2.0053897917607064,0.39182092368570565,0.23321461334059368,0.6965702384483664,0.20667782472955165,0.23791440375082862,0.05770615608742517,0.9120851454671421,0.37807092965125105,0.8903770478383061,0.11986810854692354,74,84,699,Best_Ripple_channel_LFP_CA1,0.9945127787855161,0.121201046680116,0.9995561524469421,0.10581298265432211,1.0054326126418904,0.08876198609362992
M01_20240318:6,M01,M01_20240318,6.018929012104974,5.5993234669627115e-09,8.285597381342198,0.48972344398498535,0.020246383612482557,48.2,44.9,35,5.382716049382716,5.175828197579997,2.0,4.0,7.0,0.7530864197530864,0.03752948221327992,-0.08739059911823308,0.09510824806209298,0.9863072008799206,1.8071815491574854,0.4838937111201364,0.2874430379714229,0.577712980924417,0.23701809035774996,0.21701574563985612,0.08393627101221023,0.8876029287723027,0.47344497716447403,0.931581146540163,0.09760671102450551,74,81,435,Best_Ripple_channel_LFP_CA1,0.9548546152893606,0.1547223575342069,0.9711476433336861,0.12988390789460158,0.9802581161493394,0.11029198391837128
M01_20240318:7,M01,M01_20240318,6.340285610966276,4.969113991104781e-09,8.2428628870122,0.5954878330230713,0.02087521896020688,82.1,72.8,41,8.829268292682928,4.7656302370998125,6.0,8.0,13.0,0.9512195121951219,0.1836870686184713,-0.02396824289025112,0.18524420596848112,0.9821525334808717,1.4728162352562295,0.41191055829841033,0.2315129184710471,0.6942047999652283,0.18573709820614018,0.22950379472341575,0.04923102204511766,1.0288155719229473,0.39699130506608626,0.8838381490084277,0.1113690600444135,74,82,728,Best_Ripple_channel_LFP_CA1,0.9567710549386798,0.1302112944903854,0.9692098980189238,0.11599684277396409,0.9795410023770026,0.09901978326178933
M01_20240318:8,M01,M01_20240318,11.412372282096781,7.988142661232736e-09,8.491710473109734,0.49235284328460693,0.014231831831929937,68.9,62.1,47,7.369047619047619,5.401427214127052,3.0,7.0,11.25,0.8214285714285714,0.11691821945362625,0.029956233109679868,0.12069484637849202,0.9901568984111772,1.707286242206974,0.3982950365108994,0.21730583438943382,0.6958224182079675,0.18077551088546018,0.2439326093516846,0.06345156102765645,0.9493146258274311,0.412542835808821,0.9103177309446658,0.11356588028881436,74,84,617,Best_Ripple_channel_LFP_CA1,0.9885558296924203,0.140577794034079,0.9996009069966257,0.12257943761088921,1.0077318993028912,0.09948311565797413
M01_20240318:9,M01,M01_20240318,5.225702919333099,5.889488548958628e-09,7.977662544874154,0.504703938961029,0.020583328635610708,38.1,35.9,33,4.475,4.778578253684068,1.0,3.0,7.0,0.6,0.059038598857603146,-0.08674189681477938,0.10492717864354693,0.9912386445820258,2.137286268218094,0.5401410309221598,0.2575116665602681,0.5574979574282916,0.23467257123989066,0.20701468997186948,0.07484182172577752,0.9776655058414261,0.5395008907226534,0.9038354899428268,0.1255734696198112,74,80,359,Best_Ripple_channel_LFP_CA1,0.9064145237075385,0.15005907815970893,0.9270711293441923,0.1317200854630006,0.9452953492361161,0.10975054710724322
