feature,n,pd_beta_std,p
tree_root_fraction,370,0.2666686781652325,0.04121210207892641
pivot_rate,370,0.14741051455819107,0.2607408627887342
mean_H,370,0.07709147029185788,0.5567837983484002
mean_lambda,370,0.06903658274777655,0.5987477673745762
sd_D,370,0.06446528043689495,0.6239896270068799
mean_D,370,0.048258457340730615,0.7135453772495889
sd_H,370,-0.02935094054069304,0.8221015375942975
multilevel,370,0.02915240883721156,0.8243848943146674
compound_pivot_fraction,370,0.02823781530315861,0.8298641861609538
tree_span_time,370,0.01820381867550234,0.889729834599479
sd_lambda,370,-0.015635982401819265,0.9047616631974028
pivot_depth,370,-0.003651583867367662,0.9777761529174248
