feature,n,pd_beta_std,p
mean_lambda,390,0.1263604131880141,0.2945479643215288
mean_H,390,0.11826607515474548,0.3268699879319564
mean_D,390,-0.10714441406843611,0.375882376260403
sd_D,390,-0.09314110318998307,0.4419933527574667
compound_pivot_fraction,390,0.08593721567711833,0.478511525088338
multilevel,390,-0.07370121743895998,0.5422921502226056
tree_root_fraction,390,0.059128449113441464,0.6227780560929768
sd_lambda,390,-0.03927650485772578,0.7445275873213986
tree_span_time,390,-0.03569737450862881,0.7678002427897904
pivot_depth,390,0.018212726861338995,0.8805530021314716
sd_H,390,-0.013095089396881136,0.9134512443020331
tree_span_events,390,-0.012077832042715992,0.9206080454682911
