feature,n,pd_beta_std,p
multilevel,355,0.20301636205947915,0.12337870256513685
compound_pivot_fraction,355,0.1624127450915123,0.2163163187573087
sd_D,355,0.13701226043654757,0.29884830588674444
mean_D,355,0.13395713539437526,0.30980659061327276
tree_span_events,355,0.1142456952510663,0.38502197728240084
sd_lambda,355,0.1013556675688266,0.4417121778708496
pivot_depth,355,0.09324441522663252,0.47931267654438015
pivot_rate,355,-0.08203074757284591,0.5317260332220358
tree_span_time,355,0.07579185297195092,0.5654257857783883
sd_H,355,0.06114147805794448,0.6425870627528457
mean_H,355,0.025012595431190023,0.8490869789183365
mean_lambda,355,0.009648413472040535,0.9415104074795213
