feature,n,pd_beta_std,p
multilevel,390,0.16761732939862614,0.15089441049823182
tree_span_time,390,0.16691903770881117,0.15221717849267652
mean_lambda,390,-0.13151902016102637,0.2582500902757989
mean_H,390,-0.12528789973743426,0.28147457682684673
tree_span_events,390,0.12271709600809425,0.2937206281935643
pivot_depth,390,0.0990844152490701,0.3956409857256321
mean_D,390,0.09414638340958029,0.42078446911406575
sd_lambda,390,0.08925253827351394,0.44466882739388086
sd_H,390,0.07838316863683067,0.5020553193557676
sd_D,390,0.07056345108701681,0.5462801226510222
tree_root_fraction,390,0.03615268307521198,0.756367302367115
pivot_rate,390,-0.014682184207339799,0.8999650746365029
