condition,frontend,feature,clinical,n,rho,p,q_global
rest,theta_global,mean_H,updrs_part_iii,113,-0.07960914133477164,0.40193021383041644,0.9930135882425856
rest,theta_global,mean_H,updrs_total,113,-0.05514277278376282,0.5618472669491565,0.9930135882425856
rest,theta_global,mean_H,moca,113,0.09897613429253789,0.29695014883631765,0.9930135882425856
rest,theta_global,mean_H,disease_duration,116,-0.020609741732918064,0.8261880430305183,0.9930135882425856
rest,theta_global,mean_H,ledd,115,0.05848040817123544,0.5347225546405142,0.9930135882425856
rest,theta_global,mean_H,pigd_score,113,-0.13785368514851265,0.14537245493227108,0.9534301174509907
rest,theta_global,mean_H,td_score,113,0.062092664281034896,0.5135332275724296,0.9930135882425856
rest,theta_global,mean_H,ctt,109,-0.10734595520119272,0.26656067795805705,0.9826613477429977
rest,theta_global,sd_H,updrs_part_iii,113,0.05358228401590884,0.5729858114243915,0.9930135882425856
rest,theta_global,sd_H,updrs_total,113,0.03856258385892269,0.6850960831051346,0.9930135882425856
rest,theta_global,sd_H,moca,113,-0.07960301330552781,0.40196656121666596,0.9930135882425856
rest,theta_global,sd_H,disease_duration,116,-0.028142879719005455,0.7642649220523303,0.9930135882425856
rest,theta_global,sd_H,ledd,115,-0.08196415937899308,0.3838458696807562,0.9930135882425856
rest,theta_global,sd_H,pigd_score,113,0.14672419736258116,0.12095843176763196,0.9534301174509907
rest,theta_global,sd_H,td_score,113,-0.07692280846716955,0.41804951616164093,0.9930135882425856
rest,theta_global,sd_H,ctt,109,0.11246602733840276,0.24428580324410903,0.9738635887581278
rest,theta_global,mean_D,updrs_part_iii,113,-0.009235787286866219,0.9226563333305688,0.9971683422099584
rest,theta_global,mean_D,updrs_total,113,0.007546547756587755,0.936770083852341,0.9971683422099584
rest,theta_global,mean_D,moca,113,-0.1433255946976002,0.1299086112240003,0.9534301174509907
rest,theta_global,mean_D,disease_duration,116,0.0018535693421551842,0.9842449028774222,0.9992686269414356
rest,theta_global,mean_D,ledd,115,-0.05513351855658427,0.5583946791335342,0.9930135882425856
rest,theta_global,mean_D,pigd_score,113,0.11665404327656269,0.21852201902260576,0.9534301174509907
rest,theta_global,mean_D,td_score,113,-0.0707286488606951,0.45661684445805295,0.9930135882425856
rest,theta_global,mean_D,ctt,109,0.19302501312623216,0.04432961800988927,0.9534301174509907
rest,theta_global,sd_D,updrs_part_iii,113,-0.009235787286866219,0.9226563333305688,0.9971683422099584
rest,theta_global,sd_D,updrs_total,113,0.007546547756587755,0.936770083852341,0.9971683422099584
rest,theta_global,sd_D,moca,113,-0.1433255946976002,0.1299086112240003,0.9534301174509907
rest,theta_global,sd_D,disease_duration,116,0.0018535693421551842,0.9842449028774222,0.9992686269414356
rest,theta_global,sd_D,ledd,115,-0.05513351855658427,0.5583946791335342,0.9930135882425856
rest,theta_global,sd_D,pigd_score,113,0.11665404327656269,0.21852201902260576,0.9534301174509907
