feature,n,rho,p,q_BH
mean_D,58,-0.2810386488450234,0.03259717219161228,0.45017568770516947
B0_mean_H,58,-0.26162066998100714,0.047281470699417676,0.45017568770516947
B2_mean_lambda,58,0.2568605536295533,0.05160657951562343,0.45017568770516947
sd_D,58,-0.22944684589105088,0.08317151167252634,0.45017568770516947
B0_mean_D,58,-0.22484896464684073,0.08971052185291847,0.45017568770516947
B2_multilevel,58,-0.21142902681009915,0.11111248865536917,0.45017568770516947
B0_multilevel,58,0.207968110757555,0.1172217924158032,0.45017568770516947
B2_mean_D,58,-0.20418680316943608,0.1241863966083226,0.45017568770516947
B2_mean_H,58,0.1921046997840124,0.14855003705400194,0.4786612305073396
B1_multilevel,58,0.14967754504619762,0.262106073006045,0.6745732032221458
B1_mean_H,58,-0.14468425962873385,0.2785378229150177,0.6745732032221458
tree_span_events,58,0.14450690033005362,0.27913373926433616,0.6745732032221458
B1_mean_lambda,58,-0.11953003276111372,0.37147859230811786,0.7064130868072935
tree_span_time,58,0.11682811176796871,0.38246469506085123,0.7064130868072935
B1_mean_D,58,0.11462972182500826,0.39154477591010384,0.7064130868072935
pivot_rate,58,0.11322306683161805,0.3974209180258694,0.7064130868072935
tree_root_fraction,58,0.10929437805246069,0.41410422330082725,0.7064130868072935
mean_H,58,-0.10259497353355924,0.4434640767778514,0.7144699014754272
B0_mean_lambda,58,-0.08679993458664752,0.5170606789253096,0.753910453979104
B3_mean_lambda,58,-0.08620700450047498,0.51993824412352,0.753910453979104
B3_mean_D,58,-0.07073653058523045,0.5977436883876135,0.7849593622870377
sd_H,58,-0.06549061280685659,0.6252459063802615,0.7849593622870377
sd_lambda,58,-0.06303881731824784,0.6382789865522084,0.7849593622870377
B3_mean_H,58,-0.057570276976012275,0.6677382748746824,0.7849593622870377
mean_lambda,58,-0.055927442717353185,0.67668910541986,0.7849593622870377
B3_multilevel,58,-0.05049494475549855,0.7065994881898657,0.7881301983656195
multilevel,58,0.024446966644618203,0.8554597083677434,0.9188270941727615
pivot_depth,58,0.008619346218417824,0.948798890230337,0.9810572247795897
compound_pivot_fraction,58,-0.003187043141089775,0.9810572247795898,0.9810572247795897
