contrast,feature,n0,n1,PD normal cognition_mean,PD-MCI_mean,diff,welch_p,hedges_g,q_BH
PD-MCI-vs-PD normal cognition,sd_lambda,13,36,1.945921711589457,2.020854309767042,0.07493259817758524,0.10142498985574167,0.6132421356121764,0.6311950402056851
PD-MCI-vs-PD normal cognition,sd_H,13,36,1.229464997006396,1.297641422841679,0.06817642583528305,0.12785739152269412,0.5037788050989349,0.6311950402056851
PD-MCI-vs-PD normal cognition,B0_mean_D,13,36,3.600454246608092,3.68015518432185,0.07970093771375764,0.12946041895999785,0.4385684739127942,0.6311950402056851
PD-MCI-vs-PD normal cognition,mean_lambda,13,36,4.1419927294927295,4.230839241776741,0.08884651228401186,0.13486313095329788,0.5173267733103946,0.6311950402056851
PD-MCI-vs-PD normal cognition,mean_H,13,36,4.964242595011825,5.044392104808771,0.08014950979694557,0.14540605538003598,0.49322759117149184,0.6311950402056851
PD-MCI-vs-PD normal cognition,B0_mean_H,13,36,4.255357889973275,4.339598981265648,0.08424109129237323,0.14628574221187046,0.46750325834121265,0.6311950402056851
PD-MCI-vs-PD normal cognition,multilevel,13,36,0.37480126710895934,0.35709485344902014,-0.01770641365993919,0.16561714225208451,-0.46547899300541007,0.6311950402056851
PD-MCI-vs-PD normal cognition,sd_D,13,36,1.228460923047997,1.258770282793575,0.030309359745577913,0.1951153576624897,0.3585070616436366,0.6311950402056851
PD-MCI-vs-PD normal cognition,B1_mean_D,13,36,1.1633588633588632,1.1081412414745748,-0.05521762188428836,0.19857025932802005,-0.5288824069311815,0.6311950402056851
PD-MCI-vs-PD normal cognition,B2_multilevel,13,36,0.2881272573580266,0.22958160666493996,-0.05854565069308662,0.22310239524357703,-0.4902615506526356,0.6311950402056851
PD-MCI-vs-PD normal cognition,B0_multilevel,13,36,0.9853146853146852,0.9978632478632478,0.012548562548562514,0.23941880835388057,0.5811803805914311,0.6311950402056851
PD-MCI-vs-PD normal cognition,B1_mean_lambda,13,36,5.069088603703988,5.195209034792368,0.12612043108838034,0.2924558886237577,0.3548019006444695,0.6858336981343783
PD-MCI-vs-PD normal cognition,B2_mean_lambda,13,36,4.7717786487017255,4.943223905723906,0.17144525702218072,0.3074426922671351,0.40931238907624423,0.6858336981343783
PD-MCI-vs-PD normal cognition,B2_mean_H,13,36,5.195244499090653,5.303116096866096,0.10787159777544275,0.3520231402775508,0.3752577554658926,0.691076275829142
PD-MCI-vs-PD normal cognition,B2_mean_D,13,36,1.4234658503889273,1.3598921911421913,-0.06357365924673597,0.3576359337325274,-0.3332902887854635,0.691076275829142
PD-MCI-vs-PD normal cognition,B1_multilevel,13,36,0.13258963258963258,0.10561598894932228,-0.026973643640310296,0.3812834625264232,-0.2995275830926399,0.691076275829142
PD-MCI-vs-PD normal cognition,tree_root_fraction,13,36,0.023025798987337445,0.0237219955969956,0.0006961966096581569,0.45346893820833034,0.21991133820832828,0.7444233773969583
PD-MCI-vs-PD normal cognition,B3_mean_H,13,36,5.173920523920525,5.231503064836399,0.05758254091587478,0.4620558894188017,0.16277397835774268,0.7444233773969583
PD-MCI-vs-PD normal cognition,pivot_depth,13,36,1.8955766455766456,1.9461029711029711,0.05052632552632552,0.4888040139109238,0.20155405729563794,0.7460692843903574
PD-MCI-vs-PD normal cognition,B1_mean_H,13,36,5.232447467062851,5.303350276266943,0.07090280920409153,0.5206720696872891,0.22003772957536621,0.7549745010465692
PD-MCI-vs-PD normal cognition,compound_pivot_fraction,13,36,0.6537989787989787,0.677979427979428,0.02418044918044926,0.5660349749691921,0.1587187803592492,0.7661875653975659
PD-MCI-vs-PD normal cognition,B3_mean_lambda,13,36,5.072200022200023,5.125480229646897,0.053280207446873895,0.581245739267119,0.1277248135391043,0.7661875653975659
PD-MCI-vs-PD normal cognition,mean_D,13,36,1.8222498655190966,1.81355286303203,-0.00869700248706673,0.6180907525414041,-0.16292618404576212,0.7793318184217704
PD-MCI-vs-PD normal cognition,tree_span_events,13,36,2.265594968660742,2.252360522551506,-0.013234446109235964,0.6713313131697531,-0.11026478716769408,0.8111920034134518
PD-MCI-vs-PD normal cognition,pivot_rate,13,36,0.2281321242859704,0.23066590045756716,0.002533776171596752,0.8208234307415071,0.06334361141217132,0.9326423623122356
PD-MCI-vs-PD normal cognition,tree_span_time,13,36,1.1270726874666617,1.1244882902840656,-0.0025843971825960654,0.8683025491304048,-0.043714312345733926,0.9326423623122356
PD-MCI-vs-PD normal cognition,B0_mean_lambda,13,36,1.654903643365182,1.659443796943797,0.004540153578614925,0.8683221993941503,0.055205834473323646,0.9326423623122356
PD-MCI-vs-PD normal cognition,B3_mean_D,13,36,1.1017205017205014,1.106022835189502,0.004302333469000663,0.9175831821793645,0.033096827008113935,0.9503540101143418
PD-MCI-vs-PD normal cognition,B3_multilevel,13,36,0.09317349317349316,0.09531857031857033,0.0021450771450771677,0.9507592726307692,0.018872463917350254,0.9507592726307692
