contrast,feature,n0,n1,PD normal cognition_mean,PDD_mean,diff,welch_p,hedges_g,q_BH
PDD-vs-PD normal cognition,B1_mean_D,13,9,1.1633588633588632,1.0744074734270812,-0.08895138993178198,0.07700896075565462,-0.7130689799474668,0.7720184801286938
PDD-vs-PD normal cognition,B0_mean_D,13,9,3.600454246608092,3.718525120485905,0.11807087387781268,0.07845380508782039,0.7821132599436956,0.7720184801286938
PDD-vs-PD normal cognition,B0_mean_H,13,9,4.255357889973275,4.399445434739553,0.14408754476627816,0.08981738990814818,0.7712994213138952,0.7720184801286938
PDD-vs-PD normal cognition,B1_multilevel,13,9,0.13258963258963258,0.07440747342708126,-0.05818215916255132,0.14898537527774447,-0.6136147300876846,0.7720184801286938
PDD-vs-PD normal cognition,B0_multilevel,13,9,0.9853146853146852,1.0,0.014685314685314754,0.16592852893647944,0.508121219932958,0.7720184801286938
PDD-vs-PD normal cognition,sd_D,13,9,1.228460923047997,1.2666211509887986,0.03816022794080154,0.20749410913261412,0.5591318331007691,0.7720184801286938
PDD-vs-PD normal cognition,B3_multilevel,13,9,0.09317349317349316,0.1515943751237869,0.05842088195029374,0.2223497861659806,0.5340691907687644,0.7720184801286938
PDD-vs-PD normal cognition,tree_span_time,13,9,1.1270726874666617,1.1582084850672794,0.031135797600617687,0.2675605593671292,0.5368509135190778,0.7720184801286938
PDD-vs-PD normal cognition,B2_multilevel,13,9,0.2881272573580266,0.23747606786822473,-0.05065118948980185,0.32198764457127516,-0.3774324162896092,0.7720184801286938
PDD-vs-PD normal cognition,B3_mean_D,13,9,1.1017205017205014,1.151594375123787,0.04987387340328553,0.33482717001165135,0.40105322393833714,0.7720184801286938
PDD-vs-PD normal cognition,compound_pivot_fraction,13,9,0.6537989787989787,0.613973063973064,-0.0398259148259148,0.335153097030942,-0.3801981038678568,0.7720184801286938
PDD-vs-PD normal cognition,B2_mean_lambda,13,9,4.7717786487017255,4.946755133029643,0.17497648432791735,0.3452677176492833,0.3638623728653521,0.7720184801286938
PDD-vs-PD normal cognition,tree_span_events,13,9,2.265594968660742,2.3157075042176993,0.05011253555695738,0.3460772497128627,0.4500571769904843,0.7720184801286938
PDD-vs-PD normal cognition,B2_mean_H,13,9,5.195244499090653,5.304875552914768,0.1096310538241152,0.38215253798059756,0.3329940542433206,0.7883420736557557
PDD-vs-PD normal cognition,B2_mean_D,13,9,1.4234658503889273,1.358120419885126,-0.06534543050380126,0.40776314154608057,-0.3271244606671521,0.7883420736557557
PDD-vs-PD normal cognition,mean_H,13,9,4.964242595011825,5.027979963028983,0.06373736801715779,0.4802221540692863,0.3202872630491276,0.8164722926668094
PDD-vs-PD normal cognition,mean_lambda,13,9,4.1419927294927295,4.202318115798509,0.060325386305779105,0.521291693648763,0.2873847340037189,0.8164722926668094
PDD-vs-PD normal cognition,sd_lambda,13,9,1.945921711589457,1.9771803580693406,0.031258646479883634,0.525128473093367,0.24685268112615236,0.8164722926668094
PDD-vs-PD normal cognition,sd_H,13,9,1.229464997006396,1.2598301806338787,0.03036518362748275,0.5349301227817027,0.24659763133180765,0.8164722926668094
PDD-vs-PD normal cognition,multilevel,13,9,0.37480126710895934,0.36586947910477324,-0.008931788004186092,0.5754548623930273,-0.23294878294837176,0.8344095504698897
PDD-vs-PD normal cognition,B0_mean_lambda,13,9,1.654903643365182,1.6809203142536475,0.026016670888465487,0.6221590824474046,0.2297525453125273,0.859172066236892
PDD-vs-PD normal cognition,pivot_rate,13,9,0.2281321242859704,0.23392338416848218,0.005791259882511779,0.6649914367107543,0.18222538940748448,0.8765796211187216
PDD-vs-PD normal cognition,B1_mean_lambda,13,9,5.069088603703988,5.12461543539975,0.055526831695762446,0.7884099020905985,0.12211021406133435,0.913566402983281
PDD-vs-PD normal cognition,B3_mean_H,13,9,5.173920523920525,5.208575955634779,0.03465543171425445,0.8102987731810811,0.11919947533548239,0.913566402983281
PDD-vs-PD normal cognition,tree_root_fraction,13,9,0.023025798987337445,0.022733874694659012,-0.00029192429267843253,0.8435401635415373,-0.08946881715605166,0.913566402983281
PDD-vs-PD normal cognition,B1_mean_H,13,9,5.232447467062851,5.19902290882683,-0.033424558236021085,0.8629354173202536,-0.07841476553111373,0.913566402983281
PDD-vs-PD normal cognition,mean_D,13,9,1.8222498655190966,1.8256618472304749,0.0034119817113782425,0.8763672426540319,0.06428823733562387,0.913566402983281
PDD-vs-PD normal cognition,pivot_depth,13,9,1.8955766455766456,1.907267115600449,0.011690470023803412,0.8881130337217129,0.05757918629509103,0.913566402983281
PDD-vs-PD normal cognition,B3_mean_lambda,13,9,5.072200022200023,5.056981580510992,-0.015218441689031081,0.913566402983281,-0.05123169089663295,0.913566402983281
