feature,outcome,n,partial_rank_r,p,covars,q_BH
B2_mean_lambda,HY,58,0.2940158861732276,0.025079129835127466,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.443481146967103
B2_mean_D,HY,58,-0.25062491620770483,0.05775409953373636,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.443481146967103
mean_D,HY,58,-0.2458626415971705,0.06283722386553324,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.443481146967103
B0_multilevel,HY,58,0.24454447358986883,0.06430603400242633,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.443481146967103
B2_multilevel,HY,58,-0.23447083356260046,0.07646226671846604,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.443481146967103
B2_mean_H,HY,58,0.20302497907460385,0.12638816045578166,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.5418013745446045
tree_root_fraction,HY,58,-0.20075269921917177,0.13077964213145626,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.5418013745446045
B0_mean_lambda,HY,58,0.16603951194654942,0.21288921200480185,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7717233935174067
pivot_depth,HY,58,-0.15419693301669793,0.24780681266909207,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7773420486305653
sd_D,HY,58,-0.14042254705465193,0.2930903310767928,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7773420486305653
B1_mean_H,HY,58,-0.1381142158864157,0.30117619194651946,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7773420486305653
pivot_rate,HY,58,0.132440563359507,0.3216587787436822,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7773420486305653
B0_mean_D,HY,58,-0.11536373532731584,0.38849900019364353,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.813396818816194
tree_span_time,HY,58,0.11407279128007898,0.39386512853023425,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.813396818816194
sd_lambda,HY,58,-0.10755165252000685,0.4216319107258901,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.813396818816194
sd_H,HY,58,-0.09976799376780889,0.4561917497451637,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.813396818816194
B0_mean_H,HY,58,-0.09527633803970115,0.47681882482328614,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.813396818816194
tree_span_events,HY,58,0.08640357501065762,0.5189833728272897,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8361398784439668
B1_mean_lambda,HY,58,-0.07768445230153001,0.5621673776991116,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8488620783842332
compound_pivot_fraction,HY,58,-0.07312104097939398,0.5854221230236091,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8488620783842332
B3_mean_H,HY,58,0.06268475912176855,0.6401702054784568,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8519862593508684
mean_lambda,HY,58,0.06153368512389466,0.6463344036454863,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8519862593508684
B1_mean_D,HY,58,-0.03748559520893572,0.7799644315242653,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9654327183848382
mean_H,HY,58,0.03387038862981612,0.8007269889689771,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9654327183848382
multilevel,HY,58,-0.01537715001429746,0.9087888967406504,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9654327183848382
