feature,outcome,n,partial_rank_r,p,covars,q_BH
B1_multilevel,global,58,0.2833892687977267,0.031110904448954844,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.5763673334099082
B1_mean_D,global,58,0.2708375770025488,0.03974947126964884,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.5763673334099082
sd_lambda,global,58,-0.20020316665407076,0.13185877354990544,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
B1_mean_lambda,global,58,-0.17410006422258917,0.19119538271055975,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
pivot_rate,global,58,-0.16653844900431877,0.21149821074079855,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
B0_mean_H,global,58,-0.1387385646863137,0.29897503554473986,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
mean_H,global,58,-0.11735790613821477,0.3802954009180803,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
B2_mean_D,global,58,-0.11290802418314494,0.39874402772990564,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
B3_mean_D,global,58,-0.11238369582097876,0.4009518031837272,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
mean_lambda,global,58,-0.11218033634719772,0.4018100021065191,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
sd_H,global,58,-0.10925473273998335,0.41427460610982525,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
tree_span_time,global,58,-0.10839098926849922,0.4179967014590737,"['age', 'years_of_education', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8842191551951669
