feature,n,rho,p,q_BH
B0_mean_H,58,0.2560406655332852,0.05238308295536862,0.7294297372248588
B0_multilevel,58,0.2359518040147421,0.0745687040305767,0.7294297372248588
B1_mean_D,58,-0.2195664520279258,0.09771288629007525,0.7294297372248588
B0_mean_D,58,0.2177364247952558,0.10061099823791156,0.7294297372248588
B1_multilevel,58,-0.18093115603820148,0.1740887250759377,0.7740298140175144
sd_D,58,0.16687074987011974,0.21057533326516484,0.7740298140175144
tree_span_time,58,0.16657814869796753,0.21138780600049656,0.7740298140175144
sd_lambda,58,0.1538798738432265,0.24879229823531565,0.7740298140175144
B3_multilevel,58,0.151438171647029,0.25647093647965963,0.7740298140175144
B3_mean_D,58,0.1481975774657683,0.26690683241983254,0.7740298140175144
sd_H,58,0.11534935833943705,0.3885585221180014,0.8735990308958664
tree_span_events,58,0.11429614139427292,0.39293360873598127,0.8735990308958664
B2_mean_H,58,0.10786391452940426,0.4202773861164819,0.8735990308958664
B2_mean_lambda,58,0.10191590470540837,0.44650324575477923,0.8735990308958664
multilevel,58,-0.0953432381296505,0.4765079988582853,0.8735990308958664
B3_mean_H,58,0.09416763827438121,0.48198567221840904,0.8735990308958664
compound_pivot_fraction,58,-0.07456703538425036,0.5780065518546214,0.8915953908746599
mean_H,58,0.07091677628539812,0.5968083042845163,0.8915953908746599
B2_mean_D,58,-0.06545499872073407,0.6254344203873081,0.8915953908746599
mean_lambda,58,0.0629776884191659,0.638605346449726,0.8915953908746599
B1_mean_H,58,-0.056901992839685216,0.6713739006105517,0.8915953908746599
B2_multilevel,58,-0.05598354211608461,0.6763827103187076,0.8915953908746599
pivot_rate,58,0.04604069214071092,0.7314595582495013,0.9222750951841538
B1_mean_lambda,58,0.028734642928458308,0.8304559078311485,0.9503927394712435
mean_D,58,0.02819954715697864,0.8335677698961681,0.9503927394712435
pivot_depth,58,0.02502565271099468,0.8520762491811148,0.9503927394712435
B3_mean_lambda,58,0.015046598660499252,0.9107415291161132,0.9778686134724781
tree_root_fraction,58,0.00846945111944596,0.9496881459554082,0.9778686134724781
B0_mean_lambda,58,-0.0037236379921702055,0.9778686134724781,0.9778686134724781
