feature,n,rho,p,q_BH
B1_mean_D,58,0.1737275537453206,0.19216164812710967,0.9969808678789565
B1_multilevel,58,0.15731270936704128,0.23826368646805143,0.9969808678789565
sd_lambda,58,-0.09056789554352598,0.49896369184660244,0.9969808678789565
B2_multilevel,58,-0.08871409063625552,0.5078261225728835,0.9969808678789565
B2_mean_D,58,-0.08658685899882401,0.5180938373607394,0.9969808678789565
pivot_rate,58,-0.08600044895387526,0.5209425682029206,0.9969808678789565
B0_multilevel,58,-0.08576293502064307,0.5220986197753809,0.9969808678789565
sd_H,58,-0.0724338960164778,0.5889610461811701,0.9969808678789565
tree_span_time,58,-0.05860546694049277,0.6621215657323435,0.9969808678789565
B0_mean_H,58,-0.054246419724916964,0.6858942235709738,0.9969808678789565
B3_mean_lambda,58,0.04001049761778264,0.7655527217988612,0.9969808678789565
B2_mean_lambda,58,0.03928632934600024,0.7696783180645561,0.9969808678789565
tree_root_fraction,58,-0.03725974879083682,0.7812571955113095,0.9969808678789565
pivot_depth,58,-0.03503731270294733,0.7940094693220099,0.9969808678789565
B1_mean_lambda,58,-0.03308119766754662,0.8052782221485428,0.9969808678789565
B3_mean_D,58,-0.027519049572774817,0.83752888075747,0.9969808678789565
B0_mean_D,58,-0.026495936150711667,0.8434918432346694,0.9969808678789565
B1_mean_H,58,0.025878266863806187,0.847096027726637,0.9969808678789565
sd_D,58,0.022812576924406826,0.8650294287275495,0.9969808678789565
multilevel,58,0.022228435632032095,0.8684544584840365,0.9969808678789565
compound_pivot_fraction,58,-0.014639731645805164,0.9131456923142502,0.9969808678789565
B3_multilevel,58,-0.011714044417965934,0.9304549646526253,0.9969808678789565
mean_H,58,0.010892307738712793,0.935322724637701,0.9969808678789565
B0_mean_lambda,58,0.008309728147596701,0.9506357728066722,0.9969808678789565
mean_lambda,58,-0.007123515377561149,0.9576755405387751,0.9969808678789565
B3_mean_H,58,-0.006183900636069881,0.9632541400381193,0.9969808678789565
B2_mean_H,58,-0.002756391937876367,0.9836165017787118,0.9969808678789565
mean_D,58,0.0006779565427908949,0.9959700892944396,0.9969808678789565
tree_span_events,58,0.000507911169710785,0.9969808678789565,0.9969808678789565
