feature,n,beta_std,p,covars,q_BH
B3_mean_lambda,37,0.6767988854207495,0.08927945669131869,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
B3_mean_H,37,0.5977623069895412,0.12317980418179657,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
B3_mean_D,37,-0.5966051047437136,0.1662349009249501,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
B3_multilevel,37,-0.5226223408285277,0.2188655375000611,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
B1_mean_H,37,-0.5086192297013272,0.2423827842045464,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
pivot_depth,37,0.45084686590404954,0.28631380777159,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
B0_mean_D,37,0.42936759346254666,0.29341854038326187,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
multilevel,37,-0.39575292954257313,0.3003062500093039,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
tree_span_time,37,-0.34609910321322196,0.33446772972808475,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
sd_D,37,0.37667773967808926,0.34963560562887963,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
tree_span_events,37,-0.33140243131871366,0.36034849823080395,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
B1_mean_lambda,37,-0.395744937513695,0.36956392822342626,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
B0_mean_H,37,0.3037330064065498,0.37064405440528164,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.826821352134859
sd_lambda,37,0.2716069806861893,0.4060295915950624,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8410612968754865
B1_multilevel,37,-0.27114355329085393,0.48672017438485543,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
compound_pivot_fraction,37,0.27367225720934313,0.5334393929450717,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
mean_lambda,37,0.23227214982075137,0.5845470196824042,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
mean_H,37,0.22087456623055768,0.6095523480514395,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
B1_mean_D,37,-0.1970345367413795,0.6225546852467738,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
sd_H,37,0.15044167148130796,0.716358336938948,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
mean_D,37,-0.09442598510312017,0.7629058594041578,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
B0_mean_lambda,37,-0.05664835029792972,0.7675667433846469,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
B0_multilevel,37,-0.12021417266426997,0.7722108785342773,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
pivot_rate,37,0.11276074619606935,0.7728119542072757,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
tree_root_fraction,37,0.030841894797433156,0.8043900520184267,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
B2_mean_lambda,37,0.08956873460242189,0.8220121119609565,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
B2_mean_D,37,-0.07814924645791291,0.8290548791217035,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
B2_mean_H,37,0.08385389609783586,0.8418424968594045,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.871908300318669
B2_multilevel,37,0.053981944712026046,0.8866805978525558,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8866805978525558
