feature,n,beta_std,p,covars,q_BH
B0_mean_D,33,0.8352829975207893,0.02519133421461755,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.25142986400405704
B3_mean_lambda,33,0.7094584110629789,0.033688891857004924,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.25142986400405704
B2_mean_H,33,-0.7029899280051164,0.043305974629065165,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.25142986400405704
B0_mean_H,33,0.6536102173443207,0.04673552834242305,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.25142986400405704
B3_mean_H,33,0.6833583229814365,0.048026019138336325,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.25142986400405704
sd_D,33,0.6933578737523014,0.052019971862908354,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.25142986400405704
tree_span_time,33,-0.700213113709002,0.06198597509246549,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.25679903966878564
mean_D,33,0.584764345871322,0.08104472127552151,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.29378711462376544
B2_mean_lambda,33,-0.6064806079686571,0.10040302069820785,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.323520844472003
tree_span_events,33,-0.5621566693990145,0.15198681919362994,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.44076177566152686
pivot_rate,33,0.43760994267942593,0.2531534974531348,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.616273565345348
B1_multilevel,33,-0.46040222557350424,0.2639718603575635,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.616273565345348
B1_mean_D,33,-0.4211093500231181,0.2861786117415251,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.616273565345348
B2_multilevel,33,0.39829261591062076,0.3020541780363743,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.616273565345348
B1_mean_H,33,-0.3629602727767229,0.31876218897173175,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.616273565345348
B2_mean_D,33,0.3579639832425946,0.3633474892430648,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.658567324253055
compound_pivot_fraction,33,0.2480710237764913,0.48584353371512773,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7704479170838621
tree_root_fraction,33,-0.07613801066448138,0.4885070228527312,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7704479170838621
B3_multilevel,33,-0.2401668133786614,0.5313433910923185,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7704479170838621
B3_mean_D,33,-0.24016681337866122,0.5313433910923187,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.7704479170838621
sd_lambda,33,0.15330347944395675,0.6104153786350971,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8423895261039949
B1_mean_lambda,33,-0.1787858817381317,0.6390541232513065,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8423895261039949
sd_H,33,-0.13581269748303748,0.7142350428341292,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.868231642542559
mean_lambda,33,-0.12913829221814208,0.7264474555954274,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.868231642542559
B0_multilevel,33,-0.12388235359205005,0.7484755539159992,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.868231642542559
mean_H,33,0.07686031064746107,0.8340697690922472,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.930308588602891
pivot_depth,33,0.04504934979156523,0.90295203408043,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9388672693003314
B0_mean_lambda,33,-0.01999672631269614,0.9064925358761821,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9388672693003314
multilevel,33,-0.0238997652235888,0.9484304863830723,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9484304863830723
