feature,n,beta_std,p,covars,q_BH
mean_D,40,-0.6919169016040216,0.040777868507581104,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.49170526213460075
B3_mean_D,40,-0.7909013146938154,0.04567719506686335,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.49170526213460075
B3_multilevel,40,-0.7751597962675082,0.050866061600131116,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.49170526213460075
multilevel,40,-0.5527499108572683,0.1164585558801134,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8443245301308222
B2_mean_lambda,40,0.4232799664262097,0.2193631251739192,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8684004864787594
B2_mean_D,40,-0.40255199277524406,0.22463444774895783,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8684004864787594
sd_H,40,-0.4562589040979791,0.23896593612112102,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8684004864787594
mean_lambda,40,0.41840087860299013,0.23955875489069225,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.8684004864787594
B2_mean_H,40,0.3635481723638858,0.3221881597143309,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9383963737004809
sd_lambda,40,-0.32490619905697676,0.3235849564484417,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9383963737004809
pivot_depth,40,0.3286343297716836,0.3661501255385727,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.9653048764198734
B2_multilevel,40,-0.28188848731684396,0.4052354024005214,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.972304256990259
B3_mean_lambda,40,0.30634115833580455,0.4384728622755719,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.972304256990259
B1_multilevel,40,0.2636469675739183,0.49244089536676733,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.972304256990259
tree_root_fraction,40,0.0752703537055565,0.5345424367096272,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.972304256990259
mean_H,40,0.2305095620361842,0.5410753223706665,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.972304256990259
B1_mean_D,40,0.20157628217065918,0.5786033603280325,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.972304256990259
sd_D,40,-0.2098340357366643,0.6034991939939539,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",0.972304256990259
pivot_rate,40,-0.13588238757897145,0.7115163394018721,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
tree_span_time,40,0.12107219674867566,0.7141095463158978,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
B0_mean_lambda,40,-0.0568781280547653,0.7364973950562893,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
B3_mean_H,40,0.10357858194359075,0.795545732767063,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
B1_mean_H,40,0.09135152723778137,0.815173491240531,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
B0_mean_H,40,-0.04917942549387903,0.8698872597837853,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
B0_mean_D,40,-0.028260886407146843,0.9423458562977354,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
tree_span_events,40,0.019125194077397854,0.9548654068592324,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
compound_pivot_fraction,40,0.01825028023944736,0.9604825209182606,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
B1_mean_lambda,40,0.00012315570883100036,0.9997368200782039,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
B0_multilevel,40,0.0,,"['age', 'sex_num', 'peak_interval_mean', 'peak_interval_cv', 'spectral_entropy', 'dvars_pct', 'tsnr']",1.0
