record,n_cycles,mean_duration,mean_n_beats,mean_tma_d4,mean_tma_d5,mean_tma_d6
f1o01,1834,3.9006826608506,3.85659760087241,1.1764271113145914,1.1462899901245078,1.1226230466040021
f1o02,926,7.318850971922245,6.885529157667387,1.217119460981363,1.1846121031106298,1.154292245879285
f1o03,2271,3.1811519154557466,3.172170849845883,1.1491333462598043,1.1239821696923522,1.1044281842676429
f1o04,1784,3.854390134529148,3.342488789237668,1.1535172446043862,1.1277440505728478,1.107493146713232
f1o05,547,7.936380255941499,7.276051188299817,1.2234336400130081,1.1905628487223971,1.1592026316377428
f1o06,1992,3.6447771084337353,3.121987951807229,1.1480321985804598,1.1230243649785732,1.103644198435007
f1o07,796,7.323557788944723,7.209798994974874,1.223974956156336,1.1907274722060102,1.1592974266637248
f1o08,2541,2.823659976387249,3.323888232979142,1.1539975463607712,1.1280281878153628,1.1077378684712962
f1o09,794,7.875828715365238,5.3727959697733,1.2007295649017498,1.1681842026501843,1.140618389673226
f1o10,637,7.108087912087912,7.989010989010989,1.2362372464796358,1.2021620692489192,1.1686985935136123
f1y01,2154,3.3465403899721444,4.034818941504178,1.1791357988681095,1.1487379788470764,1.1246502608374356
f1y02,1807,3.954693967902601,3.84338682899834,1.1703958061807966,1.141693224983321,1.1189022393364019
f1y03,780,6.834020512820513,7.128205128205129,1.2217487619520362,1.1888572285490793,1.157782413920109
f1y04,2200,3.2719854545454545,2.4977272727272726,1.1287684952693828,1.1070782937988617,1.0905649898831027
f1y05,825,7.456766060606061,7.072727272727272,1.2183239937618204,1.1861227571196735,1.1556090027972978
f1y06,625,7.987065599999998,7.7264,1.2327677178026268,1.1987299333283699,1.1658482034451862
f1y07,620,8.141354838709676,6.604838709677419,1.2167842856130942,1.1836395549032068,1.153408320094919
f1y08,684,7.623625730994153,7.5131578947368425,1.2266727303455363,1.1936826564228622,1.1617953687733968
f1y09,632,7.11090506329114,7.7515822784810124,1.2308726434721526,1.1974873907111925,1.1649141251832027
f1y10,586,6.791017064846416,8.02901023890785,1.2364740456204482,1.2024702923550903,1.1689763070051
f2o01,1447,4.836768486523843,4.99101589495508,1.1941150310796083,1.162245890324033,1.1357594818865209
f2o02,1965,3.5573027989821884,3.2274809160305344,1.1510731403350931,1.1255626242984422,1.1057232314508123
f2o03,2165,3.2147233256351035,3.006004618937644,1.1435049478314856,1.119341414180336,1.1006313595024404
f2o04,1508,4.529084880636605,4.433023872679045,1.1907043351265068,1.1584203282119687,1.1325575048228236
f2o05,2136,3.2319681647940075,3.885767790262172,1.1742640973480296,1.1447187866730333,1.1213587423668787
f2o06,1417,4.757504587155963,3.5617501764290753,1.1613214433641024,1.1341241362924033,1.1127162444604555
f2o07,742,8.04353099730458,6.788409703504043,1.2181784800000857,1.1851269076372442,1.1546543060362535
f2o08,1650,4.133551515151515,4.168484848484849,1.1713928379354313,1.143116163170642,1.120163956265781
f2o09,1948,3.56952977412731,3.1190965092402463,1.1478342764938314,1.1228973698324265,1.103531998232167
f2o10,642,6.5009844236760115,8.059190031152648,1.2402917048409932,1.2052844626451946,1.1711576865693014
f2y01,2341,3.0203878684322936,3.460486971379752,1.161056217282977,1.133682803142977,1.1123440055182994
f2y02,1711,4.089217797575483,3.8223261250730567,1.1763196159404656,1.1461245339152075,1.1224858978118304
f2y03,2036,3.3994361493123773,3.2838899803536346,1.154050761536208,1.127957459076646,1.1076771780207797
f2y04,594,6.714309764309765,8.156565656565656,1.2451803484647568,1.2090711378175383,1.1741329848360411
f2y05,625,6.3736064,8.2848,1.23852800519118,1.204872544386027,1.1710242634066503
f2y06,2225,3.102987865168539,3.0238202247191013,1.1433317437328698,1.1192715645405713,1.1005756662561539
f2y07,1616,4.338512376237624,4.025371287128713,1.1839700164495988,1.1523884270974059,1.1275993263288049
f2y08,2510,2.8715187250996017,2.9247011952191233,1.1396836965276402,1.1162616559984764,1.0981223506183548
f2y09,432,7.395629629629631,8.768518518518519,1.234091893965112,1.203536723015424,1.1704220707734732
f2y10,423,8.075943262411347,7.855791962174941,1.2326478843383653,1.19917406668796,1.1663012490340747
