record,n_cycles,mean_duration,mean_n_beats,mean_tma_d4,mean_tma_d5,mean_tma_d6
f1o01,1833,3.8961898527004912,3.854882705946536,1.175672431433281,1.1457119538400462,1.1221534597735685
f1o02,947,7.121866948257656,6.697993664202746,1.2148235832662029,1.1823131257803952,1.1523745401655685
f1o03,2281,3.170353353792197,3.1617711530030688,1.1487167799849523,1.1236468693466186,1.1041537064740883
f1o04,1768,3.7589208144796378,3.270361990950226,1.1522584748523477,1.1266127119264284,1.1065676998376484
f1o05,518,8.047806949806949,7.422779922779923,1.2268670166413875,1.1934987774015402,1.1615766802700709
f1o06,1993,3.6400822880080277,3.1189162067235325,1.1479777986343411,1.122985660950445,1.103611990149052
f1o07,867,7.264890426758939,7.145328719723183,1.2239160015352009,1.1904309520781027,1.1590134011715207
f1o08,2544,2.8106729559748427,3.3073899371069184,1.1535719607294737,1.1276642553399778,1.107439616747693
f1o09,763,7.86510615989515,5.3643512450851905,1.1996840570328526,1.167363767763813,1.139963219294435
f1o10,629,7.116820349761527,8.00476947535771,1.2367320370380341,1.2025754564076105,1.1690300283398705
f1y01,2155,3.32538283062645,4.007888631090487,1.1774100888837638,1.1473621901310185,1.1235310442200537
f1y02,1796,3.913496659242762,3.802338530066815,1.1689685394681582,1.140508091854322,1.1179295573369958
f1y03,792,6.794217171717173,7.13510101010101,1.2219085797048177,1.188977134707056,1.157877737255783
f1y04,2197,3.276526172052799,2.5002275830678196,1.1290354926272093,1.107297104091869,1.0907459479552861
f1y05,894,7.145664429530202,6.789709172259508,1.2153135978103504,1.182974956891899,1.1529598402554986
f1y06,716,7.814055865921788,7.601955307262569,1.2320217960288136,1.197734059691447,1.164975439147912
f1y07,571,8.145162872154115,6.716287215411558,1.2170749660394826,1.1842045863163442,1.153925874344784
f1y08,725,7.4858537931034475,7.427586206896552,1.2256273125626027,1.192614474128057,1.1608986385652669
f1y09,680,7.048641176470588,7.697058823529412,1.2296202942290417,1.196397378978227,1.1640292782761148
f1y10,671,6.749037257824142,7.982116244411326,1.2358041101602117,1.2018087844081422,1.1684264391632948
f2o01,1441,4.852088827203332,5.006245662734212,1.1939432125329474,1.1621531178524862,1.1356922915423333
f2o02,1968,3.553636178861789,3.2235772357723578,1.1513944373931146,1.1258077327723457,1.1059176098632475
f2o03,2173,3.213367694431661,3.0036815462494246,1.1434723200353698,1.1193149586713445,1.1006082711519989
f2o04,1507,4.547750497677505,4.453218314532183,1.1894440764743324,1.1575145933129443,1.1318344888028014
f2o05,2125,3.1968037647058827,3.847058823529412,1.173489459396703,1.1440405189510228,1.1208025371119974
f2o06,1398,4.659856938483548,3.492131616595136,1.1606021436246705,1.1334311227547131,1.1121338531133154
f2o07,735,7.857583673469389,6.640816326530612,1.2152118082785226,1.1825453203270202,1.1525650580846143
f2o08,1650,4.089784242424242,4.123636363636364,1.1723683144081924,1.1437306596522814,1.1206282851529106
f2o09,1946,3.5584234326824253,3.105344295991778,1.1472661808608855,1.1224386870828769,1.103155908083357
f2o10,624,6.4478910256410265,7.9951923076923075,1.2403201897810767,1.205061160844607,1.1709301991505348
f2y01,2339,3.0185771697306545,3.45788798631894,1.1611766660603278,1.133776441634502,1.1124190589537704
f2y02,1708,4.091897518127027,3.8237704918032787,1.1729374946641893,1.1435397350352825,1.1203931982155326
f2y03,2035,3.400009828009828,3.285995085995086,1.153944145859978,1.1278822113694087,1.1076148151584286
f2y04,643,6.710842923794712,8.1601866251944,1.2424730231466428,1.2071664355334166,1.172673243921232
f2y05,676,6.357911242603549,8.267751479289942,1.2393392208682155,1.2053838791357208,1.1714048133344384
f2y06,2226,3.09648697214735,3.017969451931716,1.143927796589188,1.1197163958388674,1.1009318782224315
f2y07,1618,4.334694684796045,4.021631644004945,1.1795248711340096,1.1489699302829788,1.1248276011157456
f2y08,2500,2.875608,2.93,1.1407990715189458,1.1171387187442128,1.098828838311444
f2y09,500,7.282272,8.682,1.2318345978355725,1.2015634856900328,1.1688159048454263
f2y10,480,7.975566666666667,7.795833333333333,1.232184274393597,1.1985830758143077,1.1657847535680352
