feature,g_ses1,p_ses1,q_ses1,g_ses2,p_ses2,q_ses2,same_direction,nominal_both,fdr_both,max_p
mean_lambda,-0.41655768497596884,0.14730682406494885,0.966962915622268,-0.4845343540471368,0.0992912029150071,0.6619413527667141,True,False,False,0.14730682406494885
mean_H,-0.3989246851805809,0.17267397059297757,0.966962915622268,-0.5136334582394934,0.08944451118608762,0.6619413527667141,True,False,False,0.17267397059297757
tree_span_time,0.27612960932187847,0.3538922846773606,0.966962915622268,0.2091771007940176,0.45446548686971894,0.9781711608982999,True,False,False,0.45446548686971894
surz_mean_lambda,-0.23634824185908263,0.41596200934539745,0.966962915622268,-0.20015945543166944,0.48444832392069487,0.9781711608982999,True,False,False,0.48444832392069487
surz_mean_H,-0.27687212420930235,0.3468257849005286,0.966962915622268,-0.18120589115403984,0.5366157672696487,0.9781711608982999,True,False,False,0.5366157672696487
tree_span_events,0.15852252845426987,0.5832404056659606,0.966962915622268,0.4122785846905576,0.16412026203741534,0.7421087974497468,True,False,False,0.5832404056659606
tree_root_fraction,0.1917340611624532,0.5162160546629401,0.966962915622268,-0.15686336132148307,0.5917914834788047,0.9781711608982999,False,False,False,0.5917914834788047
surz_tree_span_time,-0.16182000214919912,0.5904542427601992,0.966962915622268,-0.13677316069329246,0.635811254583895,0.9781711608982999,True,False,False,0.635811254583895
sd_H,-0.20069607329850625,0.48164136638791333,0.966962915622268,0.11738936291317513,0.6853081747959772,0.9790116782799674,False,False,False,0.6853081747959772
pivot_rate,-0.08500916077965584,0.7741500144680084,0.966962915622268,-0.5082230617544492,0.08902274015084283,0.6619413527667141,True,False,False,0.7741500144680084
sd_lambda,-0.22894001511179166,0.4287408430277664,0.966962915622268,-0.08198729967897958,0.7749269621330699,0.9879452291051118,True,False,False,0.7749269621330699
surz_pivot_rate,0.06317145185081885,0.8295113237362514,0.966962915622268,-0.39538351866518695,0.18755180632893098,0.7421087974497468,False,False,False,0.8295113237362514
sd_D,0.12544143677917563,0.6650503414840016,0.966962915622268,-0.05358825180866293,0.8536783438508896,0.9879452291051118,False,False,False,0.8536783438508896
surz_tree_span_events,-0.04987805349468702,0.8648136292301755,0.966962915622268,0.16094754024984753,0.5803908716308978,0.9781711608982999,False,False,False,0.8648136292301755
pivot_depth,-0.03466322661139005,0.9085122794256234,0.966962915622268,0.3538211758993614,0.22263263923492405,0.7421087974497468,False,False,False,0.9085122794256234
compound_pivot_fraction,0.030376260519428596,0.9186147698411545,0.966962915622268,0.16584172303432207,0.5837630680947851,0.9781711608982999,True,False,False,0.9186147698411545
mean_D,0.13529205671952094,0.6402454265619628,0.966962915622268,-0.020073463782855315,0.9447922066677078,0.9879452291051118,False,False,False,0.9447922066677078
multilevel,0.07843692442980511,0.7840208632125332,0.966962915622268,0.01842489148424959,0.9485328217973553,0.9879452291051118,True,False,False,0.9485328217973553
surz_multilevel,0.010790495194198956,0.9704269702043046,0.9704269702043046,-0.005753509985636994,0.9838607586297442,0.9879452291051118,False,False,False,0.9838607586297442
surz_mean_D,0.17288585043516627,0.5515233306645254,0.966962915622268,-0.00436394105165576,0.9879452291051118,0.9879452291051118,False,False,False,0.9879452291051118
