feature,n_H,n_L,H_delta,L_delta,welch_p,q_BH
POSPEAK_mean_H,4,8,-0.5,-0.052734375,0.1143598240241653,0.9396010379743432
POSPEAK_mean_lambda,4,8,-0.51171875,-0.06640625,0.13403395237793397,0.9396010379743432
mean_D,4,8,-0.03125,0.00732421875,0.14352143614894738,0.9396010379743432
pivot_rate,4,8,-0.0556640625,0.00341796875,0.15268216472697974,0.9396010379743432
tree_root_fraction,4,8,3.8296568627450844e-06,-3.85981164119191e-06,0.19228424173999317,0.9396010379743432
NEGPEAK_mean_lambda,4,8,-0.2265625,-0.005859375,0.22550424911384237,0.9396010379743432
mean_H,4,8,-0.2353515625,-0.03173828125,0.36814598827333206,1.0
NEGPEAK_mean_H,4,8,-0.265625,-0.02734375,0.44945342670080357,1.0
mean_lambda,4,8,-0.2041015625,-0.0390625,0.4811891567506731,1.0
DOWN0_mean_D,4,8,-0.0546875,0.091796875,0.5227348250110341,1.0
pivot_depth,4,8,0.021706657911821525,-0.03487951271403433,0.5526405267955886,1.0
tree_span_time,4,8,0.01440433456847301,-0.011890050595570467,0.6488103702547932,1.0
tree_span_events,4,8,0.02507333642118259,-0.005084561912904351,0.7116994462055449,1.0
DOWN0_mean_H,4,8,-0.1328125,0.0078125,0.7190428923041192,1.0
NEGPEAK_multilevel,4,8,0.00390625,-0.037109375,0.729712655930121,1.0
multilevel,4,8,0.0,0.005859375,0.7860582238884944,1.0
DOWN0_multilevel,4,8,-0.0078125,0.044921875,0.787282779632641,1.0
compound_pivot_fraction,4,8,-0.03246305986470681,-0.020064209623953624,0.8296475142362976,1.0
POSPEAK_multilevel,4,8,0.00390625,0.015625,0.8579023003825618,1.0
NEGPEAK_mean_D,4,8,-0.0390625,-0.021484375,0.9054587496461062,1.0
UP0_mean_H,4,8,-0.04296875,-0.0546875,0.9404227469582294,1.0
UP0_mean_D,4,8,-0.04296875,-0.0546875,0.9404227469582294,1.0
POSPEAK_mean_D,4,8,0.01171875,0.013671875,0.975332229779323,1.0
DOWN0_mean_lambda,4,8,-0.078125,-0.083984375,0.992062156356857,1.0
UP0_multilevel,4,8,0.0,0.0,,1.0
