feature,n_obs,n_subjects,within_subject_r,p,q_BH
pivot_rate,46,12,-0.35244460293492225,0.016294335184395062,0.27839569632164957
multilevel,46,12,0.3281818261808264,0.02597052940914719,0.27839569632164957
mean_lambda,46,12,-0.3225474862097748,0.02879955479189478,0.27839569632164957
mean_D,46,12,0.24778200405792802,0.09685534374292877,0.44705887296075186
NEGPEAK_mean_lambda,46,12,-0.24235017930136002,0.10464126471681906,0.44705887296075186
DOWN0_mean_H,46,12,-0.2357520637695708,0.11473397385052696,0.44705887296075186
mean_H,46,12,-0.22045447703245963,0.14095936223301622,0.44705887296075186
rms_mm_s,46,12,-0.21660166235192882,0.14821568197987342,0.44705887296075186
cycle_period_mean,46,12,-0.21500486147227946,0.15130246982769768,0.44705887296075186
NEGPEAK_mean_H,46,12,-0.2135487696621741,0.15415823205543167,0.44705887296075186
NEGPEAK_multilevel,46,12,0.16645900716200884,0.26888003955600626,0.708865558829471
DOWN0_mean_lambda,46,12,-0.1542399419668269,0.3060916380000478,0.7397214585001155
NEGPEAK_mean_D,46,12,0.13536392352461454,0.36974305408490893,0.7755777504905064
spectral_entropy_2_12,46,12,0.1340592655150113,0.3744168450643824,0.7755777504905064
compound_pivot_fraction,46,12,-0.11829520371973136,0.4336318131610519,0.8383548387780337
POSPEAK_mean_H,46,12,-0.10772384408794214,0.47609992419346653,0.8629311126006581
DOWN0_multilevel,46,12,0.0883156744981985,0.5594598838111788,0.9330418658787851
POSPEAK_mean_lambda,46,12,-0.08211484059685287,0.5874599578095804,0.9330418658787851
DOWN0_mean_D,46,12,0.07515245212699309,0.6196233605492099,0.9330418658787851
cycle_period_cv,46,12,0.06354104271504575,0.6748357331181744,0.9330418658787851
POSPEAK_mean_D,46,12,-0.06337242505244775,0.6756510063260168,0.9330418658787851
POSPEAK_multilevel,46,12,-0.04603594549743241,0.7612807935686486,0.9432461833312346
tree_root_fraction,46,12,0.04263345754347513,0.7784615998959346,0.9432461833312346
dominant_freq_hz,46,12,-0.036987590605259676,0.8071985782510429,0.9432461833312346
tree_span_events,46,12,0.03273648972585937,0.8290055968313207,0.9432461833312346
tree_span_time,46,12,0.026763148684813456,0.859859829637729,0.9432461833312346
pivot_depth,46,12,0.015994163020993234,0.9159798684248525,0.9432461833312346
UP0_mean_D,46,12,-0.010793196558927597,0.9432461833312346,0.9432461833312346
UP0_mean_H,46,12,-0.010793196558927597,0.9432461833312346,0.9432461833312346
