domain,entity,event_index,frame,raw_phase,quantized_phase,absolute_position,levels,H,D,lambda
gait,GaCo01_01,1,1,0.421875,27/64,27/64,[7],7,1,7
gait,GaCo01_01,2,1,0.5546875,71/128,71/128,[8],8,1,8
gait,GaCo01_01,3,1,0.6796875,87/128,87/128,[8],8,1,8
gait,GaCo01_01,4,2,0.1328125,17/128,145/128,[8],8,1,8
gait,GaCo01_01,5,2,0.484375,31/64,95/64,[7],7,1,7
gait,GaCo01_01,6,2,0.609375,39/64,103/64,[7],7,1,7
gait,GaCo01_01,7,3,0.1328125,17/128,273/128,[9],9,1,9
gait,GaCo01_01,8,3,0.5234375,67/128,323/128,[9],9,1,9
gait,GaCo01_01,9,3,0.625,5/8,21/8,"[5, 6]",6,2,5
gait,GaCo01_01,10,4,0.140625,9/64,201/64,[8],8,1,8
gait,GaCo01_01,11,4,0.5078125,65/128,449/128,[9],9,1,9
gait,GaCo01_01,12,4,0.6484375,83/128,467/128,[9],9,1,9
gait,GaCo01_01,13,5,0.140625,9/64,265/64,[8],8,1,8
gait,GaCo01_01,14,5,0.53125,17/32,145/32,[7],7,1,7
gait,GaCo01_01,15,5,0.65625,21/32,149/32,[7],7,1,7
gait,GaCo01_01,16,6,0.125,1/8,41/8,[5],5,1,5
gait,GaCo01_01,17,6,0.515625,33/64,353/64,[8],8,1,8
gait,GaCo01_01,18,6,0.6328125,81/128,721/128,[9],9,1,9
gait,GaCo01_01,19,7,0.1328125,17/128,785/128,[10],10,1,10
gait,GaCo01_01,20,7,0.4921875,63/128,831/128,[10],10,1,10
gait,GaCo01_01,21,7,0.625,5/8,53/8,[6],6,1,6
gait,GaCo01_01,22,8,0.1171875,15/128,911/128,[10],10,1,10
gait,GaCo01_01,23,8,0.484375,31/64,479/64,[9],9,1,9
gait,GaCo01_01,24,8,0.6015625,77/128,973/128,[10],10,1,10
ultrasound,0,1,1,0.6875,11/16,11/16,[5],5,1,5
ultrasound,0,2,1,0.8359375,107/128,107/128,[8],8,1,8
ultrasound,0,3,1,0.88671875,227/256,227/256,[9],9,1,9
ultrasound,0,4,2,0.31640625,81/256,337/256,[9],9,1,9
ultrasound,0,5,2,0.45703125,117/256,373/256,[9],9,1,9
ultrasound,0,6,2,0.52734375,135/256,391/256,[9],9,1,9
ultrasound,0,7,3,0.21875,7/32,71/32,[7],7,1,7
ultrasound,0,8,3,0.484375,31/64,159/64,[8],8,1,8
ultrasound,0,9,3,0.58203125,149/256,661/256,[10],10,1,10
ultrasound,0,10,4,0.421875,27/64,219/64,[8],8,1,8
ultrasound,0,11,4,0.6015625,77/128,461/128,[9],9,1,9
ultrasound,0,12,4,0.84765625,217/256,985/256,[10],10,1,10
ultrasound,0,13,5,0.203125,13/64,269/64,[8],8,1,8
ultrasound,0,14,5,0.51953125,133/256,1157/256,[10],10,1,10
ultrasound,0,15,5,0.6328125,81/128,593/128,[9],9,1,9
ultrasound,0,16,6,0.328125,21/64,341/64,[8],8,1,8
ultrasound,0,17,6,0.5625,9/16,89/16,[6],6,1,6
ultrasound,0,18,6,0.63671875,163/256,1443/256,[10],10,1,10
ultrasound,0,19,7,0.18359375,47/256,1583/256,[11],11,1,11
ultrasound,0,20,7,0.28515625,73/256,1609/256,[11],11,1,11
ultrasound,0,21,7,0.31640625,81/256,1617/256,[11],11,1,11
ultrasound,0,22,8,0.37890625,97/256,1889/256,[11],11,1,11
ultrasound,0,23,8,0.5390625,69/128,965/128,[10],10,1,10
ultrasound,0,24,8,0.62109375,159/256,1951/256,[11],11,1,11
fmri,100307,1,1,0.08984375,23/256,23/256,[9],9,1,9
fmri,100307,2,1,0.79296875,203/256,203/256,[9],9,1,9
fmri,100307,3,1,0.96875,31/32,31/32,[6],6,1,6
fmri,100307,4,2,0.3828125,49/128,177/128,[8],8,1,8
fmri,100307,5,2,0.5,1/2,3/2,"[2, 3, 4, 5]",5,4,2
fmri,100307,6,2,0.79296875,203/256,459/256,[9],9,1,9
fmri,100307,7,3,0.03125,1/32,65/32,[7],7,1,7
fmri,100307,8,3,0.6171875,79/128,335/128,[9],9,1,9
fmri,100307,9,3,0.734375,47/64,175/64,[8],8,1,8
fmri,100307,10,4,0.32421875,83/256,851/256,[10],10,1,10
fmri,100307,11,4,0.734375,47/64,239/64,[8],8,1,8
fmri,100307,12,4,0.96875,31/32,127/32,[7],7,1,7
fmri,100307,13,5,0.08984375,23/256,1047/256,[10],10,1,10
fmri,100307,14,5,0.6171875,79/128,591/128,[9],9,1,9
fmri,100307,15,5,0.734375,47/64,303/64,[8],8,1,8
fmri,100307,16,6,0.08984375,23/256,1303/256,[10],10,1,10
fmri,100307,17,6,0.32421875,83/256,1363/256,[10],10,1,10
fmri,100307,18,6,0.91015625,233/256,1513/256,[10],10,1,10
fmri,100307,19,7,0.1484375,19/128,787/128,[10],10,1,10
fmri,100307,20,7,0.32421875,83/256,1619/256,[11],11,1,11
fmri,100307,21,7,0.96875,31/32,223/32,[8],8,1,8
fmri,100307,22,8,0.03125,1/32,225/32,[8],8,1,8
fmri,100307,23,8,0.44140625,113/256,1905/256,[11],11,1,11
fmri,100307,24,8,0.96875,31/32,255/32,[8],8,1,8
binary_counter,0,1,1,0.125,1/8,1/8,[4],4,1,4
binary_counter,0,2,1,0.25,1/4,1/4,"[3, 4]",4,2,3
binary_counter,0,3,1,0.5,1/2,1/2,"[2, 3]",3,2,2
binary_counter,0,4,2,0.125,1/8,9/8,[4],4,1,4
binary_counter,0,5,2,0.25,1/4,5/4,"[3, 4]",4,2,3
binary_counter,0,6,2,0.5,1/2,3/2,"[2, 3]",3,2,2
binary_counter,0,7,3,0.125,1/8,17/8,[5],5,1,5
binary_counter,0,8,3,0.25,1/4,9/4,"[4, 5]",5,2,4
binary_counter,0,9,3,0.5,1/2,5/2,"[3, 4]",4,2,3
binary_counter,0,10,4,0.125,1/8,25/8,[5],5,1,5
binary_counter,0,11,4,0.25,1/4,13/4,"[4, 5]",5,2,4
binary_counter,0,12,4,0.5,1/2,7/2,"[3, 4]",4,2,3
binary_counter,0,13,5,0.125,1/8,33/8,[5],5,1,5
binary_counter,0,14,5,0.25,1/4,17/4,"[4, 5]",5,2,4
binary_counter,0,15,5,0.5,1/2,9/2,"[3, 4]",4,2,3
binary_counter,0,16,6,0.125,1/8,41/8,[5],5,1,5
binary_counter,0,17,6,0.25,1/4,21/4,"[4, 5]",5,2,4
binary_counter,0,18,6,0.5,1/2,11/2,"[3, 4]",4,2,3
binary_counter,0,19,7,0.125,1/8,49/8,[6],6,1,6
binary_counter,0,20,7,0.25,1/4,25/4,"[5, 6]",6,2,5
binary_counter,0,21,7,0.5,1/2,13/2,"[4, 5]",5,2,4
binary_counter,0,22,8,0.125,1/8,57/8,[6],6,1,6
binary_counter,0,23,8,0.25,1/4,29/4,"[5, 6]",6,2,5
binary_counter,0,24,8,0.5,1/2,15/2,"[4, 5]",5,2,4
